20240415a_HM449HfTa4Zr_chiAC_vs_T_B_0.001.txt Tue, Apr 15, 2025 6:33:50 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

No field long sweep
Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
0.000000000E+0	-7.450640000E-9	7.498500000E+0	-1.354045570E-1	2.700000000E-2
7.450640000E-9	-4.470370000E-8	7.486400000E+0	-1.354045570E-1	4.522200000E+1
-2.980250000E-8	-3.725310000E-8	7.474500000E+0	-1.354045570E-1	4.676900000E+1
3.725310000E-8	7.450640000E-9	7.462900000E+0	-1.354045570E-1	4.838300000E+1
-2.980250000E-8	7.450640000E-9	7.452800000E+0	-1.354045570E-1	5.082100000E+1
1.490130000E-8	-3.725310000E-8	7.440100000E+0	-1.354045570E-1	5.316200000E+1
-5.215430000E-8	7.450640000E-9	7.428500000E+0	-1.354045570E-1	5.563900000E+1
-2.980250000E-8	-2.980250000E-8	7.416700000E+0	-1.354045570E-1	5.756800000E+1
-5.960510000E-8	-5.960510000E-8	7.405200000E+0	-1.354045570E-1	5.999600000E+1
-1.490130000E-8	2.980250000E-8	7.394400000E+0	-1.354045570E-1	6.243500000E+1
-3.725310000E-8	3.725310000E-8	7.383400000E+0	-1.354045570E-1	6.493000000E+1
-2.980250000E-8	0.000000000E+0	7.371900000E+0	-1.354045570E-1	6.694200000E+1
-5.215430000E-8	0.000000000E+0	7.359600000E+0	-1.354045570E-1	6.929900000E+1
-1.490130000E-8	4.470370000E-8	7.349500000E+0	-1.354045570E-1	7.132800000E+1
-5.960510000E-8	-2.980250000E-8	7.336100000E+0	-1.354045570E-1	7.336800000E+1
-6.705570000E-8	5.960510000E-8	7.325100000E+0	-1.354045570E-1	7.609900000E+1
-1.490130000E-8	-3.725310000E-8	7.314600000E+0	-1.354045570E-1	7.810800000E+1
-2.235190000E-8	-1.490130000E-8	7.303500000E+0	-1.354045570E-1	8.020200000E+1
-5.215430000E-8	-8.940740000E-8	7.292500000E+0	-1.354045570E-1	8.252000000E+1
-7.450630000E-8	-4.470370000E-7	7.281400000E+0	-1.354045570E-1	8.533600000E+1
-3.948830000E-7	-1.363460000E-6	7.269000000E+0	-1.354045570E-1	8.731100000E+1
-1.594430000E-6	-3.732760000E-6	7.258900000E+0	-1.354045570E-1	8.944100000E+1
-4.440580000E-6	-7.241990000E-6	7.248000000E+0	-1.354045570E-1	9.156300000E+1
-1.025210000E-5	-1.165280000E-5	7.237500000E+0	-1.354045570E-1	9.382700000E+1
-1.700980000E-5	-1.473730000E-5	7.225300000E+0	-1.354045570E-1	9.588600000E+1
-2.893820000E-5	-1.698740000E-5	7.213500000E+0	-1.354045570E-1	9.829700000E+1
-3.664960000E-5	-1.727060000E-5	7.203000000E+0	-1.354045570E-1	1.002240000E+2
-4.652170000E-5	-1.643610000E-5	7.192100000E+0	-1.354045570E-1	1.026490000E+2
-5.447140000E-5	-1.484160000E-5	7.181200000E+0	-1.354045570E-1	1.050970000E+2
-6.090130000E-5	-1.278530000E-5	7.170700000E+0	-1.354045570E-1	1.070320000E+2
-6.559540000E-5	-1.078100000E-5	7.160400000E+0	-1.354045570E-1	1.086260000E+2
-7.051280000E-5	-8.143540000E-6	7.149700000E+0	-1.354045570E-1	1.110790000E+2
-7.364200000E-5	-6.720450000E-6	7.137800000E+0	-1.354045570E-1	1.134780000E+2
-7.580270000E-5	-5.781680000E-6	7.126500000E+0	-1.354045570E-1	1.158210000E+2
-7.763550000E-5	-4.932310000E-6	7.114800000E+0	-1.354045570E-1	1.178300000E+2
-7.955780000E-5	-4.060600000E-6	7.102700000E+0	-1.354045570E-1	1.206360000E+2
-8.098080000E-5	-3.546490000E-6	7.089200000E+0	-1.354045570E-1	1.238230000E+2
-8.152470000E-5	-3.397480000E-6	7.078700000E+0	-1.354045570E-1	1.249100000E+2
-8.279130000E-5	-2.980250000E-6	7.067900000E+0	-1.354045570E-1	1.276890000E+2
-8.334270000E-5	-2.779080000E-6	7.055100000E+0	-1.354045570E-1	1.299030000E+2
-8.417710000E-5	-2.533210000E-6	7.042900000E+0	-1.354045570E-1	1.326500000E+2
-8.466140000E-5	-2.414000000E-6	7.032400000E+0	-1.354045570E-1	1.346290000E+2
-8.522770000E-5	-2.294790000E-6	7.019900000E+0	-1.354045570E-1	1.368040000E+2
-8.603980000E-5	-2.242640000E-6	7.008500000E+0	-1.354045570E-1	1.396170000E+2
-8.658370000E-5	-2.302240000E-6	6.995200000E+0	-1.354045570E-1	1.421700000E+2
-8.700090000E-5	-2.317150000E-6	6.983700000E+0	-1.354045570E-1	1.440920000E+2
-8.774600000E-5	-2.548110000E-6	6.971500000E+0	-1.354045570E-1	1.468910000E+2
-8.838670000E-5	-2.734380000E-6	6.960100000E+0	-1.354045570E-1	1.490600000E+2
-8.890820000E-5	-2.995150000E-6	6.949500000E+0	-1.354045570E-1	1.510020000E+2
-8.960110000E-5	-3.263370000E-6	6.939300000E+0	-1.354045570E-1	1.530000000E+2
-9.050270000E-5	-3.680600000E-6	6.928400000E+0	-1.354045570E-1	1.555700000E+2
-9.141910000E-5	-4.045690000E-6	6.915600000E+0	-1.354045570E-1	1.579890000E+2
-9.249940000E-5	-4.470380000E-6	6.903500000E+0	-1.354045570E-1	1.604780000E+2
-9.359470000E-5	-4.850360000E-6	6.891900000E+0	-1.354045570E-1	1.627490000E+2
-9.487620000E-5	-5.245240000E-6	6.880500000E+0	-1.354045570E-1	1.650050000E+2
-9.611300000E-5	-5.453850000E-6	6.868300000E+0	-1.354045570E-1	1.673960000E+2
-9.736470000E-5	-5.744430000E-6	6.856400000E+0	-1.354045570E-1	1.692850000E+2
-9.882500000E-5	-5.893440000E-6	6.846200000E+0	-1.354045570E-1	1.718010000E+2
-1.002930000E-4	-5.856190000E-6	6.835400000E+0	-1.354045570E-1	1.739290000E+2
-1.018350000E-4	-5.699720000E-6	6.824900000E+0	-1.354045570E-1	1.766060000E+2
-1.029230000E-4	-5.595420000E-6	6.813000000E+0	-1.354045570E-1	1.780800000E+2
-1.044130000E-4	-5.155830000E-6	6.802700000E+0	-1.354045570E-1	1.803500000E+2
-1.054710000E-4	-4.850360000E-6	6.792500000E+0	-1.354045570E-1	1.823550000E+2
-1.067150000E-4	-4.477830000E-6	6.781200000E+0	-1.354045570E-1	1.850040000E+2
-1.075500000E-4	-4.172350000E-6	6.770700000E+0	-1.354045570E-1	1.869950000E+2
-1.085110000E-4	-3.755110000E-6	6.759900000E+0	-1.354045570E-1	1.892990000E+2
-1.091140000E-4	-3.539040000E-6	6.749600000E+0	-1.354045570E-1	1.908490000E+2
-1.099560000E-4	-3.248470000E-6	6.738900000E+0	-1.354045570E-1	1.935310000E+2
-1.105070000E-4	-3.010050000E-6	6.728400000E+0	-1.354045570E-1	1.957950000E+2
-1.108730000E-4	-2.779080000E-6	6.717200000E+0	-1.354045570E-1	1.975600000E+2
