20240415a_HM449HfTa4Zr_chiAC_vs_T.002 Tue, Apr 15, 2025 3:24:26 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

10000 Oe (1 T)
Lockin_V_002	Chan2_V_002	Temperture_002	Field_002	Timestamp_002
-1.505770000E-5	6.817310000E-6	7.500100000E+0	9.999506836E+3	2.800000000E-2
-1.358250000E-5	3.471990000E-6	7.488200000E+0	9.999506836E+3	5.092400000E+1
-1.354520000E-5	3.531590000E-6	7.476900000E+0	9.999506836E+3	5.301200000E+1
-1.323970000E-5	3.047300000E-6	7.465200000E+0	9.999506836E+3	5.502900000E+1
-1.324720000E-5	3.196310000E-6	7.454400000E+0	9.999506836E+3	5.694100000E+1
-1.322480000E-5	3.010050000E-6	7.444200000E+0	9.999506836E+3	5.941400000E+1
-1.377620000E-5	3.479440000E-6	7.433300000E+0	9.999506836E+3	6.096700000E+1
-1.336640000E-5	3.173960000E-6	7.422000000E+0	9.999506836E+3	6.339800000E+1
-1.335890000E-5	2.965350000E-6	7.410900000E+0	9.999506836E+3	6.574000000E+1
-1.291190000E-5	2.689670000E-6	7.399600000E+0	9.999506836E+3	6.814600000E+1
-1.297900000E-5	2.719480000E-6	7.389200000E+0	9.999506836E+3	6.979900000E+1
-1.307580000E-5	2.779080000E-6	7.377300000E+0	9.999506836E+3	7.179700000E+1
-1.335150000E-5	3.106910000E-6	7.366900000E+0	9.999506836E+3	7.456600000E+1
-1.318010000E-5	2.928090000E-6	7.356200000E+0	9.999506836E+3	7.661100000E+1
-1.308330000E-5	2.995150000E-6	7.346100000E+0	9.999506836E+3	7.862300000E+1
-1.291940000E-5	2.957900000E-6	7.333800000E+0	9.999506836E+3	8.113800000E+1
-1.292680000E-5	2.861040000E-6	7.323100000E+0	9.999506836E+3	8.283200000E+1
-1.323970000E-5	3.300620000E-6	7.310600000E+0	9.999506836E+3	8.563400000E+1
-1.313540000E-5	3.166510000E-6	7.300100000E+0	9.999506836E+3	8.803200000E+1
-1.395500000E-5	4.433120000E-6	7.289800000E+0	9.999506836E+3	8.968100000E+1
-1.425300000E-5	5.126030000E-6	7.277100000E+0	9.999506836E+3	9.163700000E+1
-1.361970000E-5	4.030790000E-6	7.265300000E+0	9.999506836E+3	9.445500000E+1
-1.347820000E-5	3.434730000E-6	7.253800000E+0	9.999506836E+3	9.683000000E+1
-1.313540000E-5	3.039850000E-6	7.243200000E+0	9.999506836E+3	9.925700000E+1
-1.304600000E-5	2.697120000E-6	7.232400000E+0	9.999506836E+3	1.012830000E+2
-1.309070000E-5	2.980250000E-6	7.220500000E+0	9.999506836E+3	1.032370000E+2
-1.259150000E-5	2.145780000E-6	7.209700000E+0	9.999506836E+3	1.056370000E+2
-1.265860000E-5	2.197940000E-6	7.198800000E+0	9.999506836E+3	1.076350000E+2
-1.303860000E-5	2.719480000E-6	7.187900000E+0	9.999506836E+3	1.100470000E+2
-1.370910000E-5	3.948840000E-6	7.175000000E+0	9.999506836E+3	1.128810000E+2
-1.299390000E-5	2.838690000E-6	7.163100000E+0	9.999506836E+3	1.148650000E+2
-1.297150000E-5	2.600270000E-6	7.152400000E+0	9.999506836E+3	1.172590000E+2
-1.353780000E-5	3.628450000E-6	7.141100000E+0	9.999506836E+3	1.192880000E+2
-1.417850000E-5	4.492730000E-6	7.129900000E+0	9.999506836E+3	1.216580000E+2
