20240415a_HM449HfTa4Zr_chiAC_vs_T_B_2.001.txt Tue, Apr 15, 2025 4:15:35 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

20000 Oe (2 T)
Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
-2.364080000E-5	-6.645950000E-6	7.501100000E+0	1.999967578E+4	3.200000000E-2
-2.293300000E-5	-6.295770000E-6	7.490300000E+0	1.999967578E+4	4.393200000E+1
-2.299260000E-5	-6.586340000E-6	7.478300000E+0	1.999967578E+4	4.596300000E+1
-2.280630000E-5	-6.355370000E-6	7.466700000E+0	1.999967578E+4	4.753800000E+1
-2.281380000E-5	-6.422430000E-6	7.456500000E+0	1.999967578E+4	4.955100000E+1
-2.226990000E-5	-6.295770000E-6	7.444600000E+0	1.999967578E+4	5.202100000E+1
-2.253070000E-5	-6.511840000E-6	7.433800000E+0	1.999967578E+4	5.393300000E+1
-2.241150000E-5	-6.444780000E-6	7.423000000E+0	1.999967578E+4	5.599800000E+1
-2.282120000E-5	-6.467130000E-6	7.411300000E+0	1.999967578E+4	5.896100000E+1
-2.311930000E-5	-6.593790000E-6	7.400200000E+0	1.999967578E+4	6.085500000E+1
-2.273930000E-5	-6.526740000E-6	7.388700000E+0	1.999967578E+4	6.287900000E+1
-2.302990000E-5	-6.563990000E-6	7.376700000E+0	1.999967578E+4	6.531900000E+1
-2.262010000E-5	-6.526740000E-6	7.365600000E+0	1.999967578E+4	6.807600000E+1
-2.285850000E-5	-6.243620000E-6	7.354200000E+0	1.999967578E+4	7.009300000E+1
-2.326080000E-5	-6.645950000E-6	7.344100000E+0	1.999967578E+4	7.181800000E+1
-2.319380000E-5	-6.221260000E-6	7.332700000E+0	1.999967578E+4	7.424000000E+1
-2.322360000E-5	-6.027550000E-6	7.322600000E+0	1.999967578E+4	7.622800000E+1
-2.324590000E-5	-6.020100000E-6	7.311100000E+0	1.999967578E+4	7.900600000E+1
-2.293300000E-5	-5.960490000E-6	7.299200000E+0	1.999967578E+4	8.105000000E+1
-2.282120000E-5	-6.146760000E-6	7.286900000E+0	1.999967578E+4	8.298100000E+1
