20240416a_HM449HfTa4Zr_chiAC_vs_T_B_6.001.txt Wed, Apr 16, 2025 6:35:06 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

6 T

Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
3.647230000E-4	-3.638890000E-5	7.498700000E+0	6.000017188E+4	2.900000000E-2
3.628150000E-4	-3.451130000E-5	7.488700000E+0	6.000017188E+4	4.487200000E+1
3.718750000E-4	-4.437590000E-5	7.478500000E+0	6.000017188E+4	4.644900000E+1
3.689250000E-4	-3.716370000E-5	7.466900000E+0	6.000017188E+4	4.805300000E+1
3.680610000E-4	-3.540540000E-5	7.455800000E+0	6.000017188E+4	5.001500000E+1
3.638880000E-4	-3.293180000E-5	7.444600000E+0	6.000017188E+4	5.243000000E+1
3.697590000E-4	-3.376630000E-5	7.434300000E+0	6.000017188E+4	5.441800000E+1
3.671070000E-4	-3.227610000E-5	7.423200000E+0	6.000017188E+4	5.680600000E+1
3.626070000E-4	-2.941500000E-5	7.409800000E+0	6.000017188E+4	5.960900000E+1
3.694020000E-4	-3.293180000E-5	7.397900000E+0	6.000017188E+4	6.162000000E+1
3.668680000E-4	-3.621010000E-5	7.386900000E+0	6.000017188E+4	6.377700000E+1
3.606100000E-4	-3.287220000E-5	7.375900000E+0	6.000017188E+4	6.618700000E+1
3.642460000E-4	-3.123310000E-5	7.363500000E+0	6.000017188E+4	6.900200000E+1
3.643050000E-4	-3.308080000E-5	7.351800000E+0	6.000017188E+4	7.095600000E+1
3.637990000E-4	-3.048790000E-5	7.341200000E+0	6.000017188E+4	7.335600000E+1
3.697000000E-4	-4.214070000E-5	7.328500000E+0	6.000017188E+4	7.576500000E+1
3.731570000E-4	-4.115720000E-5	7.317900000E+0	6.000017188E+4	7.734300000E+1
3.652890000E-4	-3.966710000E-5	7.307400000E+0	6.000017188E+4	7.981700000E+1
3.675540000E-4	-3.990550000E-5	7.296700000E+0	6.000017188E+4	8.174900000E+1
3.726500000E-4	-4.631300000E-5	7.283500000E+0	6.000017188E+4	8.452800000E+1
3.727400000E-4	-4.100820000E-5	7.273000000E+0	6.000017188E+4	8.697900000E+1
3.597160000E-4	-2.715000000E-5	7.261700000E+0	6.000017188E+4	8.894500000E+1
3.674050000E-4	-3.638890000E-5	7.250900000E+0	6.000017188E+4	9.096000000E+1
3.673150000E-4	-3.805780000E-5	7.240700000E+0	6.000017188E+4	9.292200000E+1
3.641860000E-4	-3.644850000E-5	7.229100000E+0	6.000017188E+4	9.536500000E+1
3.602520000E-4	-3.412390000E-5	7.218900000E+0	6.000017188E+4	9.772000000E+1
3.738720000E-4	-4.565740000E-5	7.208300000E+0	6.000017188E+4	9.979900000E+1
3.680610000E-4	-3.355760000E-5	7.198200000E+0	6.000017188E+4	1.017160000E+2
3.694310000E-4	-3.632930000E-5	7.185300000E+0	6.000017188E+4	1.039200000E+2
3.643050000E-4	-4.145530000E-5	7.173700000E+0	6.000017188E+4	1.070600000E+2
3.744080000E-4	-4.747530000E-5	7.163400000E+0	6.000017188E+4	1.086790000E+2
3.660040000E-4	-3.615040000E-5	7.153000000E+0	6.000017188E+4	1.102680000E+2
3.691930000E-4	-4.339240000E-5	7.141700000E+0	6.000017188E+4	1.131150000E+2
3.673750000E-4	-3.501800000E-5	7.130300000E+0	6.000017188E+4	1.154990000E+2
3.724410000E-4	-4.208110000E-5	7.118600000E+0	6.000017188E+4	1.174800000E+2
3.662720000E-4	-3.770020000E-5	7.106600000E+0	6.000017188E+4	1.196440000E+2
3.630540000E-4	-3.430270000E-5	7.095500000E+0	6.000017188E+4	1.220060000E+2
3.608480000E-4	-3.707430000E-5	7.083500000E+0	6.000017188E+4	1.246740000E+2
3.666600000E-4	-4.234930000E-5	7.072300000E+0	6.000017188E+4	1.271880000E+2
3.622190000E-4	-3.376630000E-5	7.061400000E+0	6.000017188E+4	1.286720000E+2
3.634110000E-4	-3.901150000E-5	7.050600000E+0	6.000017188E+4	1.312980000E+2
3.626070000E-4	-3.710410000E-5	7.038700000E+0	6.000017188E+4	1.335980000E+2
3.604610000E-4	-3.671670000E-5	7.027800000E+0	6.000017188E+4	1.360100000E+2
3.690140000E-4	-3.883270000E-5	7.017700000E+0	6.000017188E+4	1.373550000E+2
3.658250000E-4	-3.635910000E-5	7.006300000E+0	6.000017188E+4	1.401480000E+2
3.637390000E-4	-3.862400000E-5	6.996200000E+0	6.000017188E+4	1.417900000E+2
3.642460000E-4	-3.102450000E-5	6.985700000E+0	6.000017188E+4	1.438470000E+2
3.657360000E-4	-3.662730000E-5	6.973800000E+0	6.000017188E+4	1.466980000E+2
3.684180000E-4	-3.483910000E-5	6.960700000E+0	6.000017188E+4	1.492680000E+2
3.716070000E-4	-4.088900000E-5	6.949800000E+0	6.000017188E+4	1.512400000E+2
3.675240000E-4	-3.993530000E-5	6.939600000E+0	6.000017188E+4	1.532750000E+2
3.632920000E-4	-3.996510000E-5	6.928000000E+0	6.000017188E+4	1.557830000E+2
3.661230000E-4	-4.246850000E-5	6.915900000E+0	6.000017188E+4	1.581850000E+2
3.584340000E-4	-3.722330000E-5	6.903900000E+0	6.000017188E+4	1.606050000E+2
3.594480000E-4	-3.922010000E-5	6.891500000E+0	6.000017188E+4	1.628070000E+2
3.590900000E-4	-3.644850000E-5	6.879800000E+0	6.000017188E+4	1.651830000E+2
3.615040000E-4	-3.248480000E-5	6.869000000E+0	6.000017188E+4	1.678740000E+2
3.722030000E-4	-4.482290000E-5	6.857400000E+0	6.000017188E+4	1.699050000E+2
3.692820000E-4	-4.449510000E-5	6.846800000E+0	6.000017188E+4	1.720600000E+2
3.681500000E-4	-3.823660000E-5	6.834500000E+0	6.000017188E+4	1.745380000E+2
3.677920000E-4	-4.389910000E-5	6.823600000E+0	6.000017188E+4	1.763980000E+2
3.667790000E-4	-3.933930000E-5	6.813300000E+0	6.000017188E+4	1.782640000E+2
3.582850000E-4	-3.641870000E-5	6.801000000E+0	6.000017188E+4	1.809940000E+2
3.627260000E-4	-3.397490000E-5	6.789900000E+0	6.000017188E+4	1.833190000E+2
3.643950000E-4	-3.960750000E-5	6.779800000E+0	6.000017188E+4	1.854880000E+2
3.658850000E-4	-4.124660000E-5	6.769000000E+0	6.000017188E+4	1.876140000E+2
3.630240000E-4	-3.656770000E-5	6.758800000E+0	6.000017188E+4	1.893120000E+2
3.623980000E-4	-3.808760000E-5	6.745400000E+0	6.000017188E+4	1.918600000E+2
3.610870000E-4	-3.725310000E-5	6.735100000E+0	6.000017188E+4	1.939960000E+2
3.645440000E-4	-3.677630000E-5	6.725000000E+0	6.000017188E+4	1.964010000E+2
3.665410000E-4	-3.877310000E-5	6.713500000E+0	6.000017188E+4	1.990550000E+2
3.604910000E-4	-3.665710000E-5	6.700800000E+0	6.000017188E+4	2.010840000E+2
3.648120000E-4	-3.698490000E-5	6.689900000E+0	6.000017188E+4	2.036190000E+2
3.680610000E-4	-3.719350000E-5	6.678400000E+0	6.000017188E+4	2.053240000E+2
3.580770000E-4	-3.188870000E-5	6.668300000E+0	6.000017188E+4	2.078830000E+2
3.629350000E-4	-3.284240000E-5	6.656000000E+0	6.000017188E+4	2.099920000E+2
3.650510000E-4	-3.585240000E-5	6.644500000E+0	6.000017188E+4	2.125280000E+2
3.599250000E-4	-2.932560000E-5	6.632300000E+0	6.000017188E+4	2.149250000E+2
3.581360000E-4	-2.893820000E-5	6.621800000E+0	6.000017188E+4	2.163950000E+2
3.600440000E-4	-3.269340000E-5	6.611200000E+0	6.000017188E+4	2.187770000E+2
3.648720000E-4	-3.713390000E-5	6.601000000E+0	6.000017188E+4	2.209420000E+2
3.663020000E-4	-3.755120000E-5	6.590900000E+0	6.000017188E+4	2.230770000E+2
3.639780000E-4	-3.343840000E-5	6.580900000E+0	6.000017188E+4	2.253550000E+2
3.690740000E-4	-3.591200000E-5	6.569100000E+0	6.000017188E+4	2.272310000E+2
3.626070000E-4	-4.029300000E-5	6.558300000E+0	6.000017188E+4	2.298870000E+2
3.655570000E-4	-3.665710000E-5	6.546300000E+0	6.000017188E+4	2.318640000E+2
3.590600000E-4	-2.738850000E-5	6.534600000E+0	6.000017188E+4	2.345300000E+2
3.627860000E-4	-3.254440000E-5	6.523600000E+0	6.000017188E+4	2.365220000E+2
3.654980000E-4	-3.179930000E-5	6.512400000E+0	6.000017188E+4	2.382400000E+2
3.649310000E-4	-3.755120000E-5	6.502200000E+0	6.000017188E+4	2.407990000E+2
3.685670000E-4	-3.740210000E-5	6.490800000E+0	6.000017188E+4	2.429130000E+2
3.666600000E-4	-3.632930000E-5	6.479500000E+0	6.000017188E+4	2.453260000E+2
3.725900000E-4	-4.318380000E-5	6.466800000E+0	6.000017188E+4	2.483720000E+2
3.649010000E-4	-3.644850000E-5	6.454900000E+0	6.000017188E+4	2.502940000E+2
3.662430000E-4	-3.087540000E-5	6.444300000E+0	6.000017188E+4	2.522550000E+2
3.630540000E-4	-3.811740000E-5	6.431600000E+0	6.000017188E+4	2.548370000E+2
3.630540000E-4	-3.287220000E-5	6.421100000E+0	6.000017188E+4	2.577650000E+2
3.624580000E-4	-3.430270000E-5	6.410300000E+0	6.000017188E+4	2.594790000E+2
3.581070000E-4	-2.968320000E-5	6.398500000E+0	6.000017188E+4	2.614560000E+2
3.685370000E-4	-3.787900000E-5	6.387000000E+0	6.000017188E+4	2.641270000E+2
3.699680000E-4	-4.425670000E-5	6.375900000E+0	6.000017188E+4	2.657290000E+2
3.651700000E-4	-3.695510000E-5	6.363100000E+0	6.000017188E+4	2.682490000E+2
3.614440000E-4	-3.612060000E-5	6.351700000E+0	6.000017188E+4	2.712680000E+2
3.626370000E-4	-3.871340000E-5	6.339900000E+0	6.000017188E+4	2.737040000E+2
3.587320000E-4	-2.822290000E-5	6.329700000E+0	6.000017188E+4	2.749040000E+2
3.601930000E-4	-3.406430000E-5	6.318400000E+0	6.000017188E+4	2.776260000E+2
3.569440000E-4	-3.165030000E-5	6.307000000E+0	6.000017188E+4	2.796440000E+2
3.654380000E-4	-3.898170000E-5	6.296800000E+0	6.000017188E+4	2.822470000E+2
3.628450000E-4	-3.665710000E-5	6.283900000E+0	6.000017188E+4	2.845430000E+2
3.662430000E-4	-3.677630000E-5	6.269500000E+0	6.000017188E+4	2.873270000E+2
3.682100000E-4	-4.172350000E-5	6.258500000E+0	6.000017188E+4	2.894360000E+2
3.649610000E-4	-4.187250000E-5	6.248300000E+0	6.000017188E+4	2.914590000E+2
3.683880000E-4	-3.945850000E-5	6.235200000E+0	6.000017188E+4	2.941070000E+2
3.637690000E-4	-3.683590000E-5	6.222000000E+0	6.000017188E+4	2.965180000E+2
3.659450000E-4	-3.761080000E-5	6.211600000E+0	6.000017188E+4	2.992300000E+2
3.667490000E-4	-3.838560000E-5	6.201300000E+0	6.000017188E+4	3.014550000E+2
3.627860000E-4	-3.024950000E-5	6.191200000E+0	6.000017188E+4	3.033220000E+2
