20250501_HM451MoTaZr2_chiAC_vs_T_B_01.001.txt Thu, May 1, 2025 2:58:37 PM Juan
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0.1T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-4.172340000E-7	6.556550000E-7	6.025500000E+0	9.997069092E+2	2.800000000E-2
-4.395860000E-7	6.482040000E-7	6.015200000E+0	9.997069092E+2	1.353300000E+1
-4.246850000E-7	6.705560000E-7	6.004800000E+0	9.997069092E+2	3.032300000E+1
-4.395860000E-7	6.854570000E-7	5.993200000E+0	9.997069092E+2	4.290700000E+1
-4.470370000E-7	6.780060000E-7	5.981800000E+0	9.997069092E+2	4.457400000E+1
-3.874320000E-7	6.556550000E-7	5.971400000E+0	9.997069092E+2	4.609000000E+1
-3.129260000E-7	6.780060000E-7	5.959900000E+0	9.997069092E+2	4.843100000E+1
-4.246850000E-7	6.929080000E-7	5.947900000E+0	9.997069092E+2	5.046500000E+1
-3.278270000E-7	7.301610000E-7	5.936500000E+0	9.997069092E+2	5.331100000E+1
-4.023330000E-7	6.705560000E-7	5.924000000E+0	9.997069092E+2	5.566300000E+1
-4.246850000E-7	6.929080000E-7	5.913000000E+0	9.997069092E+2	5.744100000E+1
-4.172340000E-7	6.482040000E-7	5.901000000E+0	9.997069092E+2	6.025700000E+1
-3.799810000E-7	6.407540000E-7	5.890700000E+0	9.997069092E+2	6.223600000E+1
-4.172340000E-7	6.333030000E-7	5.880200000E+0	9.997069092E+2	6.419400000E+1
-3.874320000E-7	6.556550000E-7	5.868800000E+0	9.997069092E+2	6.623800000E+1
-4.470370000E-7	6.407540000E-7	5.857500000E+0	9.997069092E+2	6.824800000E+1
-4.097840000E-7	6.333030000E-7	5.846200000E+0	9.997069092E+2	7.104600000E+1
-3.725310000E-7	5.662480000E-7	5.835100000E+0	9.997069092E+2	7.303800000E+1
-3.874320000E-7	5.587970000E-7	5.824800000E+0	9.997069092E+2	7.520300000E+1
-3.874320000E-7	5.736980000E-7	5.813600000E+0	9.997069092E+2	7.714200000E+1
-3.352780000E-7	5.513470000E-7	5.803300000E+0	9.997069092E+2	7.977300000E+1
-4.321350000E-7	5.066430000E-7	5.791200000E+0	9.997069092E+2	8.168200000E+1
-3.874320000E-7	4.544870000E-7	5.779700000E+0	9.997069092E+2	8.384100000E+1
-4.321350000E-7	4.544870000E-7	5.768500000E+0	9.997069092E+2	8.647700000E+1
-4.619380000E-7	3.948830000E-7	5.758300000E+0	9.997069092E+2	8.891800000E+1
-4.991930000E-7	3.799810000E-7	5.747200000E+0	9.997069092E+2	9.023900000E+1
-4.470370000E-7	3.650800000E-7	5.736200000E+0	9.997069092E+2	9.314500000E+1
-4.470370000E-7	3.352780000E-7	5.725000000E+0	9.997069092E+2	9.512700000E+1
-3.874320000E-7	2.905740000E-7	5.713600000E+0	9.997069092E+2	9.743500000E+1
-4.693880000E-7	2.384200000E-7	5.702300000E+0	9.997069092E+2	9.946700000E+1
-4.321350000E-7	2.309690000E-7	5.690100000E+0	9.997069092E+2	1.016880000E+2
-4.842910000E-7	1.713640000E-7	5.679700000E+0	9.997069092E+2	1.036770000E+2
-5.140940000E-7	1.415620000E-7	5.669300000E+0	9.997069092E+2	1.065360000E+2
-5.066430000E-7	8.940740000E-8	5.656600000E+0	9.997069092E+2	1.085430000E+2
-4.917420000E-7	1.043090000E-7	5.645700000E+0	9.997069092E+2	1.103480000E+2
-4.917420000E-7	1.490130000E-8	5.633900000E+0	9.997069092E+2	1.132820000E+2
-5.140940000E-7	-1.043090000E-7	5.622900000E+0	9.997069092E+2	1.156740000E+2
-5.140940000E-7	-1.490130000E-7	5.612300000E+0	9.997069092E+2	1.171370000E+2
-5.438960000E-7	-1.862650000E-7	5.599900000E+0	9.997069092E+2	1.201070000E+2
-5.364450000E-7	-2.533220000E-7	5.589400000E+0	9.997069092E+2	1.219350000E+2
-5.140940000E-7	-2.607720000E-7	5.578800000E+0	9.997069092E+2	1.243930000E+2
-5.289950000E-7	-3.427290000E-7	5.568700000E+0	9.997069092E+2	1.262320000E+2
-5.960500000E-7	-4.246850000E-7	5.556700000E+0	9.997069092E+2	1.282130000E+2
-5.886000000E-7	-5.066430000E-7	5.545800000E+0	9.997069092E+2	1.306350000E+2
-6.333030000E-7	-5.960500000E-7	5.532900000E+0	9.997069092E+2	1.336520000E+2
-6.482040000E-7	-5.811490000E-7	5.521200000E+0	9.997069092E+2	1.355790000E+2
-6.407540000E-7	-7.376110000E-7	5.510600000E+0	9.997069092E+2	1.378030000E+2
-6.780060000E-7	-8.270180000E-7	5.498400000E+0	9.997069092E+2	1.404080000E+2
-7.078090000E-7	-9.387770000E-7	5.485100000E+0	9.997069092E+2	1.426090000E+2
-7.227100000E-7	-9.685830000E-7	5.474500000E+0	9.997069092E+2	1.445920000E+2
-7.823150000E-7	-1.147400000E-6	5.461800000E+0	9.997069092E+2	1.475320000E+2
-8.195680000E-7	-1.221900000E-6	5.451600000E+0	9.997069092E+2	1.498760000E+2
-8.493700000E-7	-1.274060000E-6	5.441000000E+0	9.997069092E+2	1.514070000E+2
-8.642710000E-7	-1.333660000E-6	5.427400000E+0	9.997069092E+2	1.541980000E+2
-8.940730000E-7	-1.490120000E-6	5.415900000E+0	9.997069092E+2	1.566720000E+2
-9.238760000E-7	-1.646590000E-6	5.401700000E+0	9.997069092E+2	1.595110000E+2
-1.020740000E-6	-1.780700000E-6	5.390700000E+0	9.997069092E+2	1.614480000E+2
-1.072890000E-6	-1.952070000E-6	5.378300000E+0	9.997069092E+2	1.643260000E+2
-1.147400000E-6	-2.168130000E-6	5.365400000E+0	9.997069092E+2	1.670420000E+2
-1.244250000E-6	-2.212840000E-6	5.353700000E+0	9.997069092E+2	1.686620000E+2
-1.236800000E-6	-2.391650000E-6	5.340100000E+0	9.997069092E+2	1.720410000E+2
-1.348560000E-6	-2.585370000E-6	5.328000000E+0	9.997069092E+2	1.745910000E+2
-1.356010000E-6	-2.622620000E-6	5.317500000E+0	9.997069092E+2	1.763180000E+2
-1.423070000E-6	-2.793980000E-6	5.306500000E+0	9.997069092E+2	1.789940000E+2
-1.542280000E-6	-3.032400000E-6	5.294500000E+0	9.997069092E+2	1.811250000E+2
-1.654040000E-6	-3.099460000E-6	5.282300000E+0	9.997069092E+2	1.827280000E+2
-1.735990000E-6	-3.345330000E-6	5.270100000E+0	9.997069092E+2	1.859240000E+2
-1.758340000E-6	-3.494340000E-6	5.259200000E+0	9.997069092E+2	1.879340000E+2
-1.959520000E-6	-3.702950000E-6	5.247100000E+0	9.997069092E+2	1.903820000E+2
-2.019120000E-6	-3.807260000E-6	5.236800000E+0	9.997069092E+2	1.927440000E+2
-2.071280000E-6	-4.060600000E-6	5.225400000E+0	9.997069092E+2	1.951190000E+2
-2.145780000E-6	-4.164900000E-6	5.215300000E+0	9.997069092E+2	1.969850000E+2
-2.287340000E-6	-4.448030000E-6	5.201300000E+0	9.997069092E+2	1.989940000E+2
-2.495960000E-6	-4.693890000E-6	5.189700000E+0	9.997069092E+2	2.024420000E+2
-2.533210000E-6	-4.872710000E-6	5.177800000E+0	9.997069092E+2	2.042550000E+2
-2.726930000E-6	-5.014270000E-6	5.166800000E+0	9.997069092E+2	2.067540000E+2
-2.868490000E-6	-5.215440000E-6	5.156000000E+0	9.997069092E+2	2.090380000E+2
-3.010050000E-6	-5.453850000E-6	5.143400000E+0	9.997069092E+2	2.110310000E+2
-3.233570000E-6	-5.714620000E-6	5.131200000E+0	9.997069092E+2	2.140520000E+2
-3.345330000E-6	-5.878540000E-6	5.120300000E+0	9.997069092E+2	2.158690000E+2
-3.561390000E-6	-6.243620000E-6	5.109000000E+0	9.997069092E+2	2.183220000E+2
-3.695500000E-6	-6.400080000E-6	5.096900000E+0	9.997069092E+2	2.206260000E+2
-3.926490000E-6	-6.660850000E-6	5.086100000E+0	9.997069092E+2	2.225720000E+2
-4.120200000E-6	-6.951420000E-6	5.073200000E+0	9.997069092E+2	2.253640000E+2
-4.313920000E-6	-7.078080000E-6	5.062200000E+0	9.997069092E+2	2.270070000E+2
-4.589590000E-6	-7.391010000E-6	5.051600000E+0	9.997069092E+2	2.299970000E+2
-4.760950000E-6	-7.607070000E-6	5.038200000E+0	9.997069092E+2	2.318270000E+2
-5.073870000E-6	-7.927480000E-6	5.025300000E+0	9.997069092E+2	2.347140000E+2
-5.364450000E-6	-8.173350000E-6	5.013800000E+0	9.997069092E+2	2.368450000E+2
-5.565610000E-6	-8.501170000E-6	5.003600000E+0	9.997069092E+2	2.396050000E+2
-5.893440000E-6	-8.642730000E-6	4.992500000E+0	9.997069092E+2	2.416060000E+2
-6.258520000E-6	-9.015260000E-6	4.981900000E+0	9.997069092E+2	2.437960000E+2
-6.444780000E-6	-9.156820000E-6	4.971600000E+0	9.997069092E+2	2.452420000E+2
-6.780060000E-6	-9.439940000E-6	4.958800000E+0	9.997069092E+2	2.481080000E+2
-7.219640000E-6	-9.849730000E-6	4.946700000E+0	9.997069092E+2	2.509850000E+2
-7.510210000E-6	-1.002110000E-5	4.935600000E+0	9.997069092E+2	2.528590000E+2
-7.860420000E-6	-1.034890000E-5	4.925400000E+0	9.997069092E+2	2.547820000E+2
-8.277650000E-6	-1.060220000E-5	4.914500000E+0	9.997069092E+2	2.572710000E+2
-8.478820000E-6	-1.081090000E-5	4.904300000E+0	9.997069092E+2	2.586000000E+2
-8.903500000E-6	-1.107910000E-5	4.894200000E+0	9.997069092E+2	2.611020000E+2
-9.313280000E-6	-1.138450000E-5	4.883800000E+0	9.997069092E+2	2.630200000E+2
