20250501_HM451MoTaZr2_chiAC_vs_T_B_2T.001.txt Thu, May 1, 2025 5:52:27 PM Juan
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

2T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-5.289950000E-7	8.642730000E-6	6.001300000E+0	1.999948047E+4	2.900000000E-2
1.899910000E-6	7.934930000E-6	5.990300000E+0	1.999948047E+4	8.935900000E+1
2.190490000E-6	7.592170000E-6	5.980300000E+0	1.999948047E+4	9.094300000E+1
2.421450000E-6	7.636900000E-6	5.968800000E+0	1.999948047E+4	9.250400000E+1
2.808880000E-6	6.914170000E-6	5.958400000E+0	1.999948047E+4	9.497600000E+1
2.905740000E-6	6.869460000E-6	5.947700000E+0	1.999948047E+4	9.697000000E+1
3.248470000E-6	6.109510000E-6	5.937300000E+0	1.999948047E+4	9.907900000E+1
3.032400000E-6	6.258520000E-6	5.926500000E+0	1.999948047E+4	1.013660000E+2
3.166510000E-6	6.154210000E-6	5.914400000E+0	1.999948047E+4	1.037180000E+2
3.159060000E-6	6.340470000E-6	5.902700000E+0	1.999948047E+4	1.058520000E+2
3.062200000E-6	6.392630000E-6	5.890800000E+0	1.999948047E+4	1.080160000E+2
3.308070000E-6	6.303220000E-6	5.880600000E+0	1.999948047E+4	1.107850000E+2
3.352780000E-6	6.005200000E-6	5.869200000E+0	1.999948047E+4	1.124080000E+2
3.226120000E-6	6.340470000E-6	5.858200000E+0	1.999948047E+4	1.151820000E+2
3.479440000E-6	5.550710000E-6	5.847900000E+0	1.999948047E+4	1.168040000E+2
3.255920000E-6	5.930690000E-6	5.837100000E+0	1.999948047E+4	1.191840000E+2
3.300620000E-6	5.818930000E-6	5.827100000E+0	1.999948047E+4	1.207990000E+2
3.099460000E-6	6.161660000E-6	5.816000000E+0	1.999948047E+4	1.232460000E+2
2.995150000E-6	6.116960000E-6	5.803200000E+0	1.999948047E+4	1.255840000E+2
3.129260000E-6	6.228710000E-6	5.791800000E+0	1.999948047E+4	1.279960000E+2
3.248470000E-6	6.333020000E-6	5.779200000E+0	1.999948047E+4	1.303850000E+2
3.539040000E-6	6.265970000E-6	5.768700000E+0	1.999948047E+4	1.324030000E+2
3.479440000E-6	5.684820000E-6	5.757800000E+0	1.999948047E+4	1.352010000E+2
3.479440000E-6	5.826380000E-6	5.746400000E+0	1.999948047E+4	1.371980000E+2
3.717850000E-6	5.535810000E-6	5.734600000E+0	1.999948047E+4	1.391770000E+2
3.621000000E-6	5.200530000E-6	5.724400000E+0	1.999948047E+4	1.416410000E+2
3.457080000E-6	5.796580000E-6	5.713200000E+0	1.999948047E+4	1.436110000E+2
3.770010000E-6	4.999370000E-6	5.701600000E+0	1.999948047E+4	1.463930000E+2
3.732760000E-6	4.947210000E-6	5.690000000E+0	1.999948047E+4	1.479750000E+2
3.561390000E-6	5.580510000E-6	5.680000000E+0	1.999948047E+4	1.503830000E+2
3.799810000E-6	5.170730000E-6	5.669400000E+0	1.999948047E+4	1.528040000E+2
3.710400000E-6	5.394250000E-6	5.658400000E+0	1.999948047E+4	1.543950000E+2
3.628450000E-6	5.386800000E-6	5.647800000E+0	1.999948047E+4	1.568100000E+2
3.770010000E-6	5.088780000E-6	5.637400000E+0	1.999948047E+4	1.583990000E+2
3.553940000E-6	5.312290000E-6	5.625700000E+0	1.999948047E+4	1.612640000E+2
3.732760000E-6	5.319740000E-6	5.614300000E+0	1.999948047E+4	1.636020000E+2
3.710400000E-6	5.394250000E-6	5.602900000E+0	1.999948047E+4	1.656000000E+2
3.539040000E-6	5.908340000E-6	5.591900000E+0	1.999948047E+4	1.682410000E+2
3.799810000E-6	5.826380000E-6	5.580600000E+0	1.999948047E+4	1.702600000E+2
3.963740000E-6	5.967940000E-6	5.565900000E+0	1.999948047E+4	1.730900000E+2
3.814730000E-6	6.496940000E-6	5.553900000E+0	1.999948047E+4	1.758750000E+2
3.688050000E-6	6.139310000E-6	5.542300000E+0	1.999948047E+4	1.781510000E+2
3.956290000E-6	5.885990000E-6	5.531200000E+0	1.999948047E+4	1.799880000E+2
3.755110000E-6	6.392630000E-6	5.517500000E+0	1.999948047E+4	1.829190000E+2
3.494340000E-6	6.504390000E-6	5.506300000E+0	1.999948047E+4	1.850780000E+2
3.330420000E-6	7.092980000E-6	5.494900000E+0	1.999948047E+4	1.877590000E+2
3.516690000E-6	6.713000000E-6	5.484000000E+0	1.999948047E+4	1.898390000E+2
3.755110000E-6	6.668300000E-6	5.473600000E+0	1.999948047E+4	1.916070000E+2
3.717850000E-6	6.839660000E-6	5.461700000E+0	1.999948047E+4	1.941710000E+2
3.494340000E-6	6.966320000E-6	5.451700000E+0	1.999948047E+4	1.963080000E+2
3.881780000E-6	6.794960000E-6	5.441400000E+0	1.999948047E+4	1.978480000E+2
3.814730000E-6	6.750260000E-6	5.427700000E+0	1.999948047E+4	2.006970000E+2
3.710400000E-6	7.048280000E-6	5.417000000E+0	1.999948047E+4	2.027120000E+2
3.673150000E-6	7.309050000E-6	5.404000000E+0	1.999948047E+4	2.055660000E+2
3.695500000E-6	7.100430000E-6	5.393700000E+0	1.999948047E+4	2.078990000E+2
3.777460000E-6	7.160040000E-6	5.381700000E+0	1.999948047E+4	2.098630000E+2
3.546490000E-6	7.122780000E-6	5.369800000E+0	1.999948047E+4	2.122330000E+2
3.665700000E-6	7.055730000E-6	5.359500000E+0	1.999948047E+4	2.146600000E+2
3.784910000E-6	6.869460000E-6	5.346900000E+0	1.999948047E+4	2.173640000E+2
3.576290000E-6	7.100430000E-6	5.335000000E+0	1.999948047E+4	2.190410000E+2
3.688050000E-6	6.578890000E-6	5.323000000E+0	1.999948047E+4	2.220880000E+2
3.635900000E-6	6.981220000E-6	5.311700000E+0	1.999948047E+4	2.238360000E+2
3.606100000E-6	6.638500000E-6	5.297500000E+0	1.999948047E+4	2.267950000E+2
3.568840000E-6	7.003570000E-6	5.286800000E+0	1.999948047E+4	2.291820000E+2
3.762560000E-6	6.705550000E-6	5.274500000E+0	1.999948047E+4	2.316060000E+2
3.717850000E-6	6.966320000E-6	5.263200000E+0	1.999948047E+4	2.335840000E+2
3.770010000E-6	6.653400000E-6	5.250600000E+0	1.999948047E+4	2.363790000E+2
3.755110000E-6	6.400080000E-6	5.240400000E+0	1.999948047E+4	2.382520000E+2
3.755110000E-6	6.295770000E-6	5.226300000E+0	1.999948047E+4	2.411760000E+2
3.926490000E-6	6.392630000E-6	5.214100000E+0	1.999948047E+4	2.434530000E+2
3.717850000E-6	6.921620000E-6	5.202800000E+0	1.999948047E+4	2.458410000E+2
3.889230000E-6	6.772610000E-6	5.191400000E+0	1.999948047E+4	2.483010000E+2
3.911580000E-6	6.750260000E-6	5.181300000E+0	1.999948047E+4	2.497610000E+2
4.090400000E-6	7.063180000E-6	5.167800000E+0	1.999948047E+4	2.527930000E+2
4.075500000E-6	6.906720000E-6	5.155700000E+0	1.999948047E+4	2.550700000E+2
3.919030000E-6	6.578890000E-6	5.144600000E+0	1.999948047E+4	2.574940000E+2
3.889230000E-6	6.459680000E-6	5.134300000E+0	1.999948047E+4	2.598630000E+2
4.105300000E-6	6.452230000E-6	5.123100000E+0	1.999948047E+4	2.618610000E+2
3.598640000E-6	6.780060000E-6	5.110700000E+0	1.999948047E+4	2.643950000E+2
3.717850000E-6	6.921620000E-6	5.099400000E+0	1.999948047E+4	2.661370000E+2
3.777460000E-6	6.899270000E-6	5.089100000E+0	1.999948047E+4	2.686460000E+2
3.673150000E-6	6.802410000E-6	5.075900000E+0	1.999948047E+4	2.714440000E+2
3.673150000E-6	6.914170000E-6	5.065500000E+0	1.999948047E+4	2.734470000E+2
3.762560000E-6	6.236170000E-6	5.053600000E+0	1.999948047E+4	2.753050000E+2
3.889230000E-6	6.347920000E-6	5.042800000E+0	1.999948047E+4	2.777820000E+2
3.859430000E-6	6.593790000E-6	5.029800000E+0	1.999948047E+4	2.803180000E+2
4.187260000E-6	6.228710000E-6	5.019500000E+0	1.999948047E+4	2.825440000E+2
3.717850000E-6	5.938140000E-6	5.006900000E+0	1.999948047E+4	2.850790000E+2
4.023340000E-6	5.900890000E-6	4.996400000E+0	1.999948047E+4	2.872210000E+2
3.933940000E-6	5.632670000E-6	4.985900000E+0	1.999948047E+4	2.893210000E+2
3.777460000E-6	5.662470000E-6	4.973900000E+0	1.999948047E+4	2.918820000E+2
3.881780000E-6	5.811480000E-6	4.962900000E+0	1.999948047E+4	2.937520000E+2
3.770010000E-6	5.923240000E-6	4.951600000E+0	1.999948047E+4	2.957950000E+2
3.919030000E-6	6.586340000E-6	4.940900000E+0	1.999948047E+4	2.983860000E+2
3.814730000E-6	6.482030000E-6	4.929900000E+0	1.999948047E+4	3.003740000E+2
3.829630000E-6	5.573060000E-6	4.919000000E+0	1.999948047E+4	3.025790000E+2
3.926490000E-6	5.602870000E-6	4.907400000E+0	1.999948047E+4	3.047660000E+2
3.993540000E-6	5.535810000E-6	4.896900000E+0	1.999948047E+4	3.071860000E+2
3.710400000E-6	5.602870000E-6	4.883300000E+0	1.999948047E+4	3.095990000E+2
4.723700000E-6	5.893440000E-6	4.871400000E+0	1.999948047E+4	3.120030000E+2
3.926490000E-6	5.759330000E-6	4.861000000E+0	1.999948047E+4	3.141230000E+2
4.500180000E-6	5.342100000E-6	4.849200000E+0	1.999948047E+4	3.168550000E+2
4.664090000E-6	5.632670000E-6	4.836500000E+0	1.999948047E+4	3.193270000E+2
5.066420000E-6	5.975390000E-6	4.825800000E+0	1.999948047E+4	3.206590000E+2
4.127650000E-6	5.848730000E-6	4.815200000E+0	1.999948047E+4	3.235810000E+2
4.351170000E-6	6.012650000E-6	4.805000000E+0	1.999948047E+4	3.249870000E+2
4.798200000E-6	6.072250000E-6	4.792700000E+0	1.999948047E+4	3.278830000E+2
4.813100000E-6	5.863640000E-6	4.780800000E+0	1.999948047E+4	3.304010000E+2
4.403320000E-6	6.392630000E-6	4.768600000E+0	1.999948047E+4	3.325320000E+2
4.962120000E-6	6.064800000E-6	4.758000000E+0	1.999948047E+4	3.346890000E+2
5.058970000E-6	6.131860000E-6	4.746600000E+0	1.999948047E+4	3.372040000E+2
4.224510000E-6	6.333020000E-6	4.735900000E+0	1.999948047E+4	3.394470000E+2
4.023340000E-6	6.608690000E-6	4.725800000E+0	1.999948047E+4	3.411220000E+2
4.239410000E-6	6.526740000E-6	4.714400000E+0	1.999948047E+4	3.435640000E+2
4.760950000E-6	5.930690000E-6	4.702200000E+0	1.999948047E+4	3.458380000E+2
6.392630000E-6	2.652420000E-6	4.691400000E+0	1.999948047E+4	3.484320000E+2
6.154210000E-6	2.361850000E-6	4.679900000E+0	1.999948047E+4	3.501580000E+2
6.079700000E-6	3.367680000E-6	4.669200000E+0	1.999948047E+4	3.525280000E+2
6.206360000E-6	2.786530000E-6	4.657300000E+0	1.999948047E+4	3.551070000E+2
6.035000000E-6	3.404930000E-6	4.646000000E+0	1.999948047E+4	3.573280000E+2
6.139310000E-6	2.816330000E-6	4.634600000E+0	1.999948047E+4	3.593880000E+2
6.236170000E-6	2.846140000E-6	4.623500000E+0	1.999948047E+4	3.621920000E+2
6.012650000E-6	3.300620000E-6	4.613100000E+0	1.999948047E+4	3.635780000E+2
6.094600000E-6	3.084550000E-6	4.600300000E+0	1.999948047E+4	3.661090000E+2
6.742800000E-6	2.414000000E-6	4.588700000E+0	1.999948047E+4	3.689840000E+2
6.400080000E-6	2.950440000E-6	4.577300000E+0	1.999948047E+4	3.709370000E+2
6.243620000E-6	3.151610000E-6	4.565400000E+0	1.999948047E+4	3.734600000E+2
6.139310000E-6	4.157450000E-6	4.554300000E+0	1.999948047E+4	3.757430000E+2
6.616140000E-6	4.038240000E-6	4.542800000E+0	1.999948047E+4	3.777180000E+2
6.794960000E-6	3.077100000E-6	4.532200000E+0	1.999948047E+4	3.800250000E+2
7.376100000E-6	3.524140000E-6	4.519500000E+0	1.999948047E+4	3.825400000E+2
7.130230000E-6	2.741830000E-6	4.508300000E+0	1.999948047E+4	3.846860000E+2
7.376100000E-6	2.451260000E-6	4.498100000E+0	1.999948047E+4	3.867910000E+2
7.092980000E-6	2.391650000E-6	4.487400000E+0	1.999948047E+4	3.888010000E+2
7.167490000E-6	2.719480000E-6	4.477100000E+0	1.999948047E+4	3.914260000E+2
7.234540000E-6	2.846140000E-6	4.465700000E+0	1.999948047E+4	3.932690000E+2
7.145140000E-6	2.637520000E-6	4.454900000E+0	1.999948047E+4	3.951880000E+2
6.966320000E-6	2.428900000E-6	4.444700000E+0	1.999948047E+4	3.974370000E+2
7.025930000E-6	2.510860000E-6	4.433400000E+0	1.999948047E+4	3.999650000E+2
6.943970000E-6	2.324600000E-6	4.421700000E+0	1.999948047E+4	4.021930000E+2
7.331400000E-6	1.639140000E-6	4.410700000E+0	1.999948047E+4	4.042530000E+2
7.227090000E-6	1.899910000E-6	4.399600000E+0	1.999948047E+4	4.067890000E+2
7.174940000E-6	2.153230000E-6	4.388500000E+0	1.999948047E+4	4.089080000E+2
7.212190000E-6	2.034020000E-6	4.377000000E+0	1.999948047E+4	4.110760000E+2
7.376100000E-6	1.832850000E-6	4.364800000E+0	1.999948047E+4	4.131060000E+2
7.212190000E-6	2.294790000E-6	4.353300000E+0	1.999948047E+4	4.158500000E+2
7.338850000E-6	1.862650000E-6	4.341700000E+0	1.999948047E+4	4.182530000E+2
7.517660000E-6	1.773250000E-6	4.328300000E+0	1.999948047E+4	4.203000000E+2
7.405910000E-6	2.026570000E-6	4.316900000E+0	1.999948047E+4	4.233070000E+2
7.517660000E-6	1.780700000E-6	4.306700000E+0	1.999948047E+4	4.250920000E+2
7.405910000E-6	1.363460000E-6	4.294500000E+0	1.999948047E+4	4.276250000E+2
7.458060000E-6	1.810500000E-6	4.282500000E+0	1.999948047E+4	4.294490000E+2
7.219640000E-6	1.929710000E-6	4.272100000E+0	1.999948047E+4	4.322370000E+2
7.540020000E-6	2.130880000E-6	4.260600000E+0	1.999948047E+4	4.339560000E+2
7.465510000E-6	1.303860000E-6	4.249200000E+0	1.999948047E+4	4.370990000E+2
7.517660000E-6	1.817950000E-6	4.238700000E+0	1.999948047E+4	4.386470000E+2
7.532570000E-6	1.527380000E-6	4.227300000E+0	1.999948047E+4	4.407800000E+2
7.502760000E-6	1.899910000E-6	4.214800000E+0	1.999948047E+4	4.434450000E+2
7.443160000E-6	1.475220000E-6	4.203700000E+0	1.999948047E+4	4.455160000E+2
7.413360000E-6	1.303860000E-6	4.191900000E+0	1.999948047E+4	4.483680000E+2
7.614520000E-6	8.717220000E-7	4.180400000E+0	1.999948047E+4	4.503080000E+2
