20250521_HM454Nb2TaZr_chiAC_vs_T_B_2T.003.txt Wed, May 21, 2025 12:16:44 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

2T
Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
-1.177200000E-6	2.831240000E-7	1.000220000E+1	1.999950977E+4	2.900000000E-2
-7.003580000E-7	3.129260000E-7	9.991000000E+0	1.999950977E+4	6.518500000E+1
-8.642710000E-7	3.650800000E-7	9.978600000E+0	1.999950977E+4	6.718700000E+1
-1.050540000E-6	7.152590000E-7	9.967300000E+0	1.999950977E+4	6.878100000E+1
-6.407540000E-7	4.097840000E-7	9.956100000E+0	1.999950977E+4	7.035200000E+1
-1.281510000E-6	5.215440000E-7	9.944500000E+0	1.999950977E+4	7.275300000E+1
-2.533220000E-7	1.266610000E-7	9.933000000E+0	1.999950977E+4	7.517300000E+1
-8.866230000E-7	6.184020000E-7	9.918600000E+0	1.999950977E+4	7.726600000E+1
-2.458710000E-7	6.705570000E-8	9.908200000E+0	1.999950977E+4	8.004700000E+1
-1.080340000E-6	7.376110000E-7	9.896100000E+0	1.999950977E+4	8.205600000E+1
-7.823150000E-7	3.054760000E-7	9.885000000E+0	1.999950977E+4	8.459600000E+1
-5.215440000E-7	1.490130000E-7	9.872900000E+0	1.999950977E+4	8.698800000E+1
-8.344690000E-7	4.097840000E-7	9.861800000E+0	1.999950977E+4	8.899400000E+1
-8.493700000E-7	3.948830000E-7	9.851600000E+0	1.999950977E+4	9.106500000E+1
-7.376110000E-7	1.862650000E-7	9.840800000E+0	1.999950977E+4	9.340200000E+1
-9.089740000E-7	1.937160000E-7	9.829400000E+0	1.999950977E+4	9.580200000E+1
-1.147400000E-6	5.215440000E-7	9.817300000E+0	1.999950977E+4	9.780400000E+1
-1.028190000E-6	5.438960000E-7	9.806600000E+0	1.999950977E+4	9.981100000E+1
-1.169750000E-6	3.576300000E-7	9.796000000E+0	1.999950977E+4	1.017850000E+2
-1.393270000E-6	5.364450000E-7	9.785200000E+0	1.999950977E+4	1.042410000E+2
-4.097840000E-7	2.533220000E-7	9.774300000E+0	1.999950977E+4	1.067430000E+2
-6.631050000E-7	2.607720000E-7	9.762700000E+0	1.999950977E+4	1.092270000E+2
-1.214450000E-6	6.780060000E-7	9.750800000E+0	1.999950977E+4	1.111840000E+2
-4.097840000E-7	-7.450630000E-8	9.739300000E+0	1.999950977E+4	1.135850000E+2
-1.065440000E-6	6.333030000E-7	9.728800000E+0	1.999950977E+4	1.159360000E+2
