20240423_HM455NbTa2Zr_chiAC_vs_T_B_3T.002.txt Wed, Apr 23, 2025 4:52:25 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

3T
Lockin_V_002	Chan2_V_002	Temperture_002	Field_002	Timestamp_002
2.086170000E-7	-1.600400000E-5	9.000100000E+0	2.999954297E+4	2.800000000E-2
2.086170000E-7	-1.651060000E-5	8.988500000E+0	2.999954297E+4	5.450200000E+1
-1.609330000E-6	-1.573570000E-5	8.978400000E+0	2.999954297E+4	5.618400000E+1
1.668940000E-6	-1.698740000E-5	8.965800000E+0	2.999954297E+4	5.815600000E+1
1.072890000E-6	-1.662980000E-5	8.955200000E+0	2.999954297E+4	5.973300000E+1
-3.874320000E-7	-1.639140000E-5	8.943300000E+0	2.999954297E+4	6.173900000E+1
2.592820000E-6	-1.728550000E-5	8.932600000E+0	2.999954297E+4	6.458500000E+1
1.311310000E-6	-1.698740000E-5	8.920500000E+0	2.999954297E+4	6.656400000E+1
2.324600000E-6	-1.722590000E-5	8.909100000E+0	2.999954297E+4	6.893200000E+1
2.563010000E-6	-1.710660000E-5	8.897800000E+0	2.999954297E+4	7.136300000E+1
4.112750000E-6	-1.764310000E-5	8.885800000E+0	2.999954297E+4	7.375900000E+1
1.996770000E-6	-1.713650000E-5	8.874200000E+0	2.999954297E+4	7.571300000E+1
3.457080000E-6	-1.743450000E-5	8.861900000E+0	2.999954297E+4	7.816000000E+1
5.960500000E-7	-1.683840000E-5	8.851300000E+0	2.999954297E+4	8.024000000E+1
4.828010000E-6	-1.800070000E-5	8.839600000E+0	2.999954297E+4	8.299200000E+1
4.142550000E-6	-1.794110000E-5	8.828500000E+0	2.999954297E+4	8.517900000E+1
4.351170000E-6	-1.797090000E-5	8.817200000E+0	2.999954297E+4	8.724700000E+1
2.622620000E-6	-1.737490000E-5	8.805400000E+0	2.999954297E+4	8.920300000E+1
2.563010000E-6	-1.716630000E-5	8.794000000E+0	2.999954297E+4	9.203000000E+1
3.427280000E-6	-1.761330000E-5	8.783800000E+0	2.999954297E+4	9.398800000E+1
2.861040000E-6	-1.752390000E-5	8.772600000E+0	2.999954297E+4	9.559300000E+1
2.712030000E-6	-1.758350000E-5	8.761700000E+0	2.999954297E+4	9.797600000E+1
1.907360000E-6	-1.722590000E-5	8.751100000E+0	2.999954297E+4	1.003950000E+2
1.490130000E-7	-1.642120000E-5	8.740000000E+0	2.999954297E+4	1.023860000E+2
3.278270000E-7	-1.671920000E-5	8.729700000E+0	2.999954297E+4	1.048790000E+2
2.890840000E-6	-1.740470000E-5	8.717000000E+0	2.999954297E+4	1.072280000E+2
2.771630000E-6	-1.761330000E-5	8.705400000E+0	2.999954297E+4	1.091870000E+2
5.155830000E-6	-1.859680000E-5	8.694200000E+0	2.999954297E+4	1.116240000E+2
5.722080000E-6	-1.856700000E-5	8.683200000E+0	2.999954297E+4	1.136340000E+2
5.334640000E-6	-1.823910000E-5	8.670800000E+0	2.999954297E+4	1.163960000E+2
6.824760000E-6	-1.946100000E-5	8.660000000E+0	2.999954297E+4	1.188340000E+2
2.861040000E-6	-1.803050000E-5	8.648000000E+0	2.999954297E+4	1.208530000E+2
3.963740000E-6	-1.806030000E-5	8.636400000E+0	2.999954297E+4	1.228010000E+2
4.261760000E-6	-1.806030000E-5	8.624600000E+0	2.999954297E+4	1.256440000E+2
6.020100000E-6	-1.850740000E-5	8.613600000E+0	2.999954297E+4	1.280030000E+2
6.496940000E-6	-1.853720000E-5	8.603100000E+0	2.999954297E+4	1.299940000E+2
6.705550000E-6	-1.847760000E-5	8.590600000E+0	2.999954297E+4	1.319830000E+2
7.033380000E-6	-1.847760000E-5	8.578900000E+0	2.999954297E+4	1.349070000E+2
6.943970000E-6	-1.856700000E-5	8.568100000E+0	2.999954297E+4	1.367920000E+2
5.006820000E-6	-1.835830000E-5	8.556500000E+0	2.999954297E+4	1.392280000E+2
6.347920000E-6	-1.874580000E-5	8.545000000E+0	2.999954297E+4	1.417500000E+2
6.616140000E-6	-1.859680000E-5	8.534800000E+0	2.999954297E+4	1.436160000E+2
6.258520000E-6	-1.835830000E-5	8.523100000E+0	2.999954297E+4	1.459170000E+2
2.056370000E-6	-1.734510000E-5	8.512000000E+0	2.999954297E+4	1.482790000E+2
3.188860000E-6	-1.767290000E-5	8.501900000E+0	2.999954297E+4	1.503330000E+2
1.668940000E-6	-1.704700000E-5	8.491700000E+0	2.999954297E+4	1.523000000E+2
3.904130000E-6	-1.800070000E-5	8.480200000E+0	2.999954297E+4	1.542490000E+2
4.142550000E-6	-1.826890000E-5	8.470000000E+0	2.999954297E+4	1.566620000E+2
5.424050000E-6	-1.856700000E-5	8.458100000E+0	2.999954297E+4	1.586720000E+2
4.977020000E-6	-1.862660000E-5	8.447600000E+0	2.999954297E+4	1.607420000E+2
3.397480000E-6	-1.814970000E-5	8.437100000E+0	2.999954297E+4	1.630660000E+2
2.980250000E-6	-1.809010000E-5	8.426700000E+0	2.999954297E+4	1.655170000E+2
4.351170000E-6	-1.841800000E-5	8.415000000E+0	2.999954297E+4	1.674900000E+2
5.543260000E-6	-1.880540000E-5	8.403500000E+0	2.999954297E+4	1.695220000E+2
5.871090000E-6	-1.877560000E-5	8.392400000E+0	2.999954297E+4	1.718980000E+2
5.096230000E-6	-1.877560000E-5	8.382200000E+0	2.999954297E+4	1.738580000E+2
4.023340000E-6	-1.841800000E-5	8.371000000E+0	2.999954297E+4	1.762880000E+2
4.023340000E-6	-1.850740000E-5	8.357800000E+0	2.999954297E+4	1.790770000E+2
3.844530000E-6	-1.874580000E-5	8.346800000E+0	2.999954297E+4	1.810770000E+2
3.963740000E-6	-1.874580000E-5	8.334000000E+0	2.999954297E+4	1.834570000E+2
4.828010000E-6	-1.862660000E-5	8.323300000E+0	2.999954297E+4	1.859420000E+2
5.155830000E-6	-1.895440000E-5	8.312400000E+0	2.999954297E+4	1.882760000E+2
6.139310000E-6	-1.922260000E-5	8.301800000E+0	2.999954297E+4	1.899240000E+2
4.589590000E-6	-1.898420000E-5	8.291500000E+0	2.999954297E+4	1.923280000E+2
4.619390000E-6	-1.886500000E-5	8.280800000E+0	2.999954297E+4	1.942710000E+2
5.006820000E-6	-1.901400000E-5	8.270500000E+0	2.999954297E+4	1.964220000E+2
1.490120000E-6	-1.791130000E-5	8.258800000E+0	2.999954297E+4	1.992100000E+2
3.308070000E-6	-1.835830000E-5	8.247800000E+0	2.999954297E+4	2.007960000E+2
2.235190000E-6	-1.850740000E-5	8.237000000E+0	2.999954297E+4	2.025360000E+2
2.861040000E-6	-1.835830000E-5	8.225100000E+0	2.999954297E+4	2.054770000E+2
3.993540000E-6	-1.859680000E-5	8.213600000E+0	2.999954297E+4	2.076020000E+2
2.384200000E-6	-1.838810000E-5	8.203200000E+0	2.999954297E+4	2.097430000E+2
2.294790000E-6	-1.814970000E-5	8.192600000E+0	2.999954297E+4	2.128820000E+2
2.890840000E-6	-1.832850000E-5	8.181200000E+0	2.999954297E+4	2.143380000E+2
3.993540000E-6	-1.844780000E-5	8.169800000E+0	2.999954297E+4	2.164150000E+2
3.695500000E-6	-1.892460000E-5	8.159300000E+0	2.999954297E+4	2.185370000E+2
1.847750000E-6	-1.832850000E-5	8.148400000E+0	2.999954297E+4	2.210220000E+2
2.652420000E-6	-1.844780000E-5	8.138200000E+0	2.999954297E+4	2.228330000E+2
3.248470000E-6	-1.889480000E-5	8.126800000E+0	2.999954297E+4	2.248870000E+2
3.278270000E-6	-1.883520000E-5	8.116500000E+0	2.999954297E+4	2.274310000E+2
7.152590000E-7	-1.823910000E-5	8.106400000E+0	2.999954297E+4	2.291470000E+2
2.086180000E-6	-1.853720000E-5	8.094000000E+0	2.999954297E+4	2.317740000E+2
1.430520000E-6	-1.814970000E-5	8.083200000E+0	2.999954297E+4	2.340510000E+2
1.341110000E-6	-1.856700000E-5	8.071400000E+0	2.999954297E+4	2.368610000E+2
2.026570000E-6	-1.844780000E-5	8.060100000E+0	2.999954297E+4	2.382680000E+2
2.682220000E-6	-1.877560000E-5	8.049300000E+0	2.999954297E+4	2.402690000E+2
1.549730000E-6	-1.856700000E-5	8.038400000E+0	2.999954297E+4	2.430230000E+2
2.443800000E-6	-1.871600000E-5	8.027200000E+0	2.999954297E+4	2.453640000E+2
2.056370000E-6	-1.838810000E-5	8.016500000E+0	2.999954297E+4	2.471470000E+2
3.188860000E-6	-1.874580000E-5	8.005900000E+0	2.999954297E+4	2.493120000E+2
