20240422_HM457MbNbZr2_chiAC_vs_T_B_0T.002.txt Tue, Apr 22, 2025 1:13:34 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

)T
Lockin_V_002	Chan2_V_002	Temperture_002	Field_002	Timestamp_002
5.960510000E-8	1.892450000E-6	7.501200000E+0	7.522476465E-2	3.600000000E-2
7.450630000E-8	1.922260000E-6	7.491000000E+0	7.522476465E-2	4.164600000E+1
4.470370000E-8	1.899910000E-6	7.479900000E+0	7.522476465E-2	4.322700000E+1
5.960510000E-8	1.944620000E-6	7.469700000E+0	7.522476465E-2	4.480300000E+1
5.960510000E-8	1.959520000E-6	7.457800000E+0	7.522476465E-2	4.719800000E+1
5.960510000E-8	1.937170000E-6	7.447200000E+0	7.522476465E-2	4.898000000E+1
5.215430000E-8	1.937170000E-6	7.434300000E+0	7.522476465E-2	5.172300000E+1
-1.490130000E-8	1.899910000E-6	7.422100000E+0	7.522476465E-2	5.385500000E+1
5.960510000E-8	1.929710000E-6	7.411700000E+0	7.522476465E-2	5.600900000E+1
7.450630000E-8	1.877550000E-6	7.400400000E+0	7.522476465E-2	5.883800000E+1
1.266610000E-7	1.929710000E-6	7.390400000E+0	7.522476465E-2	6.081300000E+1
-7.450640000E-9	1.899910000E-6	7.378600000E+0	7.522476465E-2	6.284500000E+1
8.195680000E-8	1.959520000E-6	7.367200000E+0	7.522476465E-2	6.521700000E+1
5.215430000E-8	1.944620000E-6	7.355100000E+0	7.522476465E-2	6.724100000E+1
4.470370000E-8	1.929710000E-6	7.344900000E+0	7.522476465E-2	6.966300000E+1
5.960510000E-8	1.959520000E-6	7.333500000E+0	7.522476465E-2	7.165700000E+1
0.000000000E+0	1.952070000E-6	7.322100000E+0	7.522476465E-2	7.440400000E+1
0.000000000E+0	1.899910000E-6	7.310400000E+0	7.522476465E-2	7.681000000E+1
1.117590000E-7	1.929710000E-6	7.300300000E+0	7.522476465E-2	7.840600000E+1
1.490130000E-8	1.914810000E-6	7.289100000E+0	7.522476465E-2	8.042100000E+1
8.195680000E-8	1.959520000E-6	7.278200000E+0	7.522476465E-2	8.283800000E+1
3.725310000E-8	1.959520000E-6	7.267300000E+0	7.522476465E-2	8.526300000E+1
3.725310000E-8	1.847750000E-6	7.254900000E+0	7.522476465E-2	8.763100000E+1
4.470370000E-8	2.026570000E-6	7.243800000E+0	7.522476465E-2	8.965500000E+1
3.725310000E-8	1.937170000E-6	7.233300000E+0	7.522476465E-2	9.168200000E+1
5.960510000E-8	1.952070000E-6	7.223200000E+0	7.522476465E-2	9.400500000E+1
0.000000000E+0	1.944620000E-6	7.212500000E+0	7.522476465E-2	9.649800000E+1
-2.235190000E-8	1.914810000E-6	7.200600000E+0	7.522476465E-2	9.842400000E+1
8.195680000E-8	1.899910000E-6	7.189400000E+0	7.522476465E-2	1.008270000E+2
8.195680000E-8	1.996770000E-6	7.177800000E+0	7.522476465E-2	1.028890000E+2
0.000000000E+0	1.981870000E-6	7.167100000E+0	7.522476465E-2	1.052360000E+2
1.490130000E-8	1.892450000E-6	7.155700000E+0	7.522476465E-2	1.072670000E+2
9.685800000E-8	1.885000000E-6	7.145200000E+0	7.522476465E-2	1.093900000E+2
0.000000000E+0	1.922260000E-6	7.133800000E+0	7.522476465E-2	1.118400000E+2
3.725310000E-8	1.899910000E-6	7.121600000E+0	7.522476465E-2	1.145660000E+2
2.980250000E-8	1.899910000E-6	7.110500000E+0	7.522476465E-2	1.162890000E+2
2.980250000E-8	1.899910000E-6	7.099900000E+0	7.522476465E-2	1.183080000E+2
-7.450640000E-9	1.922260000E-6	7.088700000E+0	7.522476465E-2	1.207510000E+2
3.725310000E-8	1.899910000E-6	7.077200000E+0	7.522476465E-2	1.235140000E+2
5.215430000E-8	1.899910000E-6	7.066700000E+0	7.522476465E-2	1.251150000E+2
0.000000000E+0	1.952070000E-6	7.055500000E+0	7.522476465E-2	1.274890000E+2
4.470370000E-8	1.937170000E-6	7.043600000E+0	7.522476465E-2	1.299040000E+2
5.960510000E-8	1.914810000E-6	7.032900000E+0	7.522476465E-2	1.314910000E+2
6.705570000E-8	1.922260000E-6	7.022300000E+0	7.522476465E-2	1.339000000E+2
1.490130000E-8	1.937170000E-6	7.011800000E+0	7.522476465E-2	1.359370000E+2
4.470370000E-8	1.944620000E-6	7.000100000E+0	7.522476465E-2	1.383740000E+2
4.470370000E-8	1.877550000E-6	6.990000000E+0	7.522476465E-2	1.408280000E+2
-1.490130000E-8	1.899910000E-6	6.979900000E+0	7.522476465E-2	1.429290000E+2
2.980250000E-8	1.914810000E-6	6.968200000E+0	7.522476465E-2	1.448260000E+2
2.980250000E-8	1.922260000E-6	6.957000000E+0	7.522476465E-2	1.472750000E+2
-2.980250000E-8	1.862650000E-6	6.944400000E+0	7.522476465E-2	1.493730000E+2
1.490130000E-8	1.937170000E-6	6.932400000E+0	7.522476465E-2	1.521610000E+2
1.490130000E-8	1.922260000E-6	6.922200000E+0	7.522476465E-2	1.539760000E+2
-5.960510000E-8	1.885000000E-6	6.910400000E+0	7.522476465E-2	1.564370000E+2
-3.725310000E-8	1.832850000E-6	6.898400000E+0	7.522476465E-2	1.588400000E+2
-6.705570000E-8	1.840300000E-6	6.887700000E+0	7.522476465E-2	1.607630000E+2
-5.960510000E-8	1.885000000E-6	6.875900000E+0	7.522476465E-2	1.635110000E+2
-8.940740000E-8	1.907360000E-6	6.862900000E+0	7.522476465E-2	1.661670000E+2
-2.086170000E-7	1.862650000E-6	6.851500000E+0	7.522476465E-2	1.681640000E+2
-1.937160000E-7	1.862650000E-6	6.841400000E+0	7.522476465E-2	1.699730000E+2
-2.160680000E-7	1.899910000E-6	6.831100000E+0	7.522476465E-2	1.724420000E+2
-2.607720000E-7	1.877550000E-6	6.819700000E+0	7.522476465E-2	1.745650000E+2
-2.607720000E-7	1.862650000E-6	6.808000000E+0	7.522476465E-2	1.770310000E+2
-2.756730000E-7	1.885000000E-6	6.797600000E+0	7.522476465E-2	1.788520000E+2
-3.129260000E-7	1.959520000E-6	6.786200000E+0	7.522476465E-2	1.812910000E+2
-3.576300000E-7	1.959520000E-6	6.775600000E+0	7.522476465E-2	1.834150000E+2
-3.129260000E-7	1.996770000E-6	6.765400000E+0	7.522476465E-2	1.855610000E+2
-3.650800000E-7	1.944620000E-6	6.753700000E+0	7.522476465E-2	1.872760000E+2
-3.725310000E-7	1.885000000E-6	6.741000000E+0	7.522476465E-2	1.901640000E+2
-3.501790000E-7	1.937170000E-6	6.730400000E+0	7.522476465E-2	1.927480000E+2
-2.980250000E-7	2.011670000E-6	6.719900000E+0	7.522476465E-2	1.947410000E+2
-3.725310000E-7	1.989320000E-6	6.708900000E+0	7.522476465E-2	1.965560000E+2
-3.129260000E-7	1.922260000E-6	6.697600000E+0	7.522476465E-2	1.990180000E+2
-3.278270000E-7	2.011670000E-6	6.687100000E+0	7.522476465E-2	2.010960000E+2
-3.278270000E-7	1.952070000E-6	6.675400000E+0	7.522476465E-2	2.036420000E+2
-3.278270000E-7	2.011670000E-6	6.664600000E+0	7.522476465E-2	2.053670000E+2
-3.501790000E-7	1.966970000E-6	6.652800000E+0	7.522476465E-2	2.077980000E+2
