20240422_HM457MbNbZr2_chiAC_vs_T_B_2T.002.txt Tue, Apr 22, 2025 2:44:53 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

2T
Lockin_V_002	Chan2_V_002	Temperture_002	Field_002	Timestamp_002
-1.232930000E-4	-2.086170000E-7	6.503500000E+0	1.999976758E+4	2.700000000E-2
1.698740000E-6	-2.086170000E-7	6.491400000E+0	1.999976758E+4	9.065600000E+1
2.056370000E-6	-4.768410000E-7	6.480000000E+0	1.999976758E+4	9.224000000E+1
1.996770000E-6	-7.748640000E-7	6.469200000E+0	1.999976758E+4	9.390800000E+1
1.728540000E-6	2.980250000E-8	6.458200000E+0	1.999976758E+4	9.588800000E+1
1.817950000E-6	-5.364450000E-7	6.447900000E+0	1.999976758E+4	9.830500000E+1
2.026570000E-6	-1.788150000E-7	6.436700000E+0	1.999976758E+4	1.006480000E+2
1.758340000E-6	-2.980250000E-7	6.426000000E+0	1.999976758E+4	1.028500000E+2
-1.192100000E-7	-5.960500000E-7	6.415300000E+0	1.999976758E+4	1.047930000E+2
6.854570000E-7	-3.874320000E-7	6.404000000E+0	1.999976758E+4	1.067740000E+2
1.281510000E-6	-3.874320000E-7	6.393300000E+0	1.999976758E+4	1.091860000E+2
9.834840000E-7	-5.960510000E-8	6.381800000E+0	1.999976758E+4	1.116530000E+2
8.642710000E-7	-5.662480000E-7	6.371700000E+0	1.999976758E+4	1.131830000E+2
1.370910000E-6	-6.258520000E-7	6.361000000E+0	1.999976758E+4	1.152250000E+2
1.698740000E-6	-5.960500000E-7	6.350800000E+0	1.999976758E+4	1.177820000E+2
2.115980000E-6	-8.344690000E-7	6.340000000E+0	1.999976758E+4	1.197650000E+2
1.996770000E-6	-7.450620000E-7	6.329100000E+0	1.999976758E+4	1.221850000E+2
2.086180000E-6	-7.152590000E-7	6.319000000E+0	1.999976758E+4	1.236970000E+2
2.414000000E-6	-6.258520000E-7	6.307000000E+0	1.999976758E+4	1.261870000E+2
2.026570000E-6	-3.278270000E-7	6.295300000E+0	1.999976758E+4	1.289190000E+2
1.430520000E-6	-1.490130000E-7	6.285200000E+0	1.999976758E+4	1.309380000E+2
1.728540000E-6	-1.192100000E-7	6.274600000E+0	1.999976758E+4	1.325140000E+2
2.652420000E-6	-1.072890000E-6	6.262700000E+0	1.999976758E+4	1.349890000E+2
2.980250000E-6	8.940740000E-8	6.250600000E+0	1.999976758E+4	1.377100000E+2
3.427280000E-6	-8.344690000E-7	6.238400000E+0	1.999976758E+4	1.401120000E+2
4.172350000E-6	-1.281510000E-6	6.226500000E+0	1.999976758E+4	1.421750000E+2
2.801430000E-6	-1.609330000E-6	6.215800000E+0	1.999976758E+4	1.446280000E+2
3.457080000E-6	-1.907360000E-6	6.205000000E+0	1.999976758E+4	1.466820000E+2
4.291560000E-6	-2.712030000E-6	6.194100000E+0	1.999976758E+4	1.490480000E+2
4.857810000E-6	-1.847750000E-6	6.181500000E+0	1.999976758E+4	1.508500000E+2
4.798200000E-6	-1.132500000E-6	6.170500000E+0	1.999976758E+4	1.535760000E+2
4.738600000E-6	-1.251700000E-6	6.157700000E+0	1.999976758E+4	1.561300000E+2
4.142550000E-6	-9.536820000E-7	6.146100000E+0	1.999976758E+4	1.586430000E+2
5.066420000E-6	-2.026570000E-6	6.135800000E+0	1.999976758E+4	1.609710000E+2
4.291560000E-6	-2.056370000E-6	6.124800000E+0	1.999976758E+4	1.625290000E+2
4.798200000E-6	-1.728540000E-6	6.112300000E+0	1.999976758E+4	1.650750000E+2
3.963740000E-6	-9.238760000E-7	6.100000000E+0	1.999976758E+4	1.679680000E+2
3.486890000E-6	-1.102690000E-6	6.089300000E+0	1.999976758E+4	1.697170000E+2
4.291560000E-6	-1.937170000E-6	6.077300000E+0	1.999976758E+4	1.721140000E+2
2.890840000E-6	-2.145780000E-6	6.065700000E+0	1.999976758E+4	1.743910000E+2
4.977020000E-6	-1.549730000E-6	6.054100000E+0	1.999976758E+4	1.771820000E+2
5.364450000E-6	-1.966970000E-6	6.042600000E+0	1.999976758E+4	1.790670000E+2
5.066420000E-6	-1.519930000E-6	6.032400000E+0	1.999976758E+4	1.813800000E+2
5.155830000E-6	-1.519930000E-6	6.021600000E+0	1.999976758E+4	1.832100000E+2
5.006820000E-6	-1.311310000E-6	6.011100000E+0	1.999976758E+4	1.860640000E+2
5.275040000E-6	-1.162300000E-6	6.000300000E+0	1.999976758E+4	1.879360000E+2
5.155830000E-6	-9.238760000E-7	5.987500000E+0	1.999976758E+4	1.900770000E+2
5.632670000E-6	-9.536820000E-7	5.977400000E+0	1.999976758E+4	1.921160000E+2
5.811480000E-6	-1.013290000E-6	5.966300000E+0	1.999976758E+4	1.946460000E+2
5.811480000E-6	-8.642710000E-7	5.955400000E+0	1.999976758E+4	1.964180000E+2
5.841280000E-6	-8.940730000E-7	5.944900000E+0	1.999976758E+4	1.985460000E+2
5.930690000E-6	-1.013290000E-6	5.934200000E+0	1.999976758E+4	2.008960000E+2
4.977020000E-6	-7.450620000E-7	5.922600000E+0	1.999976758E+4	2.031640000E+2
4.589590000E-6	-7.450620000E-7	5.912000000E+0	1.999976758E+4	2.052290000E+2
4.708800000E-6	-3.576300000E-7	5.900900000E+0	1.999976758E+4	2.073490000E+2
4.291560000E-6	-5.364450000E-7	5.890100000E+0	1.999976758E+4	2.098560000E+2
6.198910000E-6	-1.221900000E-6	5.878500000E+0	1.999976758E+4	2.120130000E+2
6.377730000E-6	-7.450620000E-7	5.868000000E+0	1.999976758E+4	2.141850000E+2
5.960490000E-6	-1.221900000E-6	5.858000000E+0	1.999976758E+4	2.158360000E+2
5.781680000E-6	-1.013290000E-6	5.846900000E+0	1.999976758E+4	2.184950000E+2
5.930690000E-6	-1.043090000E-6	5.835900000E+0	1.999976758E+4	2.205250000E+2
6.139310000E-6	-9.536820000E-7	5.824400000E+0	1.999976758E+4	2.231960000E+2
6.049900000E-6	-1.102690000E-6	5.812600000E+0	1.999976758E+4	2.247790000E+2
5.751880000E-6	-1.251700000E-6	5.801200000E+0	1.999976758E+4	2.277200000E+2
5.066420000E-6	-1.430520000E-6	5.790900000E+0	1.999976758E+4	2.297360000E+2
5.632670000E-6	-1.192100000E-6	5.778800000E+0	1.999976758E+4	2.319780000E+2
6.139310000E-6	-1.221900000E-6	5.767400000E+0	1.999976758E+4	2.340280000E+2
5.781680000E-6	-1.370910000E-6	5.756900000E+0	1.999976758E+4	2.362480000E+2
5.424050000E-6	-1.966970000E-6	5.746800000E+0	1.999976758E+4	2.381470000E+2
6.437330000E-6	-1.549730000E-6	5.735900000E+0	1.999976758E+4	2.410900000E+2
5.900890000E-6	-1.728540000E-6	5.724100000E+0	1.999976758E+4	2.431690000E+2
5.036620000E-6	-2.354400000E-6	5.712200000E+0	1.999976758E+4	2.449510000E+2
4.112750000E-6	-3.278270000E-6	5.700800000E+0	1.999976758E+4	2.474390000E+2
3.129260000E-6	-4.053140000E-6	5.688700000E+0	1.999976758E+4	2.502630000E+2
5.096230000E-6	-4.768400000E-6	5.677200000E+0	1.999976758E+4	2.522850000E+2
5.096230000E-6	-4.291560000E-6	5.666400000E+0	1.999976758E+4	2.543690000E+2
5.334640000E-6	-4.708800000E-6	5.655600000E+0	1.999976758E+4	2.569400000E+2
5.632670000E-6	-5.155830000E-6	5.641800000E+0	1.999976758E+4	2.595930000E+2
4.857810000E-6	-4.529980000E-6	5.631400000E+0	1.999976758E+4	2.613240000E+2
4.410770000E-6	-4.351170000E-6	5.618800000E+0	1.999976758E+4	2.637300000E+2
4.887610000E-6	-3.069650000E-6	5.608500000E+0	1.999976758E+4	2.660210000E+2
4.649190000E-6	-1.817950000E-6	5.594800000E+0	1.999976758E+4	2.690080000E+2
4.887610000E-6	-1.817950000E-6	5.584500000E+0	1.999976758E+4	2.710620000E+2
4.231960000E-6	-1.907360000E-6	5.573800000E+0	1.999976758E+4	2.727780000E+2
3.069650000E-6	-2.563010000E-6	5.560500000E+0	1.999976758E+4	2.757540000E+2
3.129260000E-6	-2.354400000E-6	5.548700000E+0	1.999976758E+4	2.775860000E+2
3.546490000E-6	-2.205390000E-6	5.537100000E+0	1.999976758E+4	2.805260000E+2
3.844530000E-6	-1.639140000E-6	5.525000000E+0	1.999976758E+4	2.830460000E+2
5.096230000E-6	-1.937170000E-6	5.511900000E+0	1.999976758E+4	2.848380000E+2
3.665700000E-6	-2.861040000E-6	5.500300000E+0	1.999976758E+4	2.877080000E+2
5.900890000E-6	-2.235190000E-6	5.488500000E+0	1.999976758E+4	2.900770000E+2
6.139310000E-6	-1.519930000E-6	5.475900000E+0	1.999976758E+4	2.925530000E+2
3.814730000E-6	-1.400720000E-6	5.465600000E+0	1.999976758E+4	2.945270000E+2
5.453850000E-6	-1.519930000E-6	5.455100000E+0	1.999976758E+4	2.967760000E+2
4.828010000E-6	-1.311310000E-6	5.443700000E+0	1.999976758E+4	2.991930000E+2
3.993540000E-6	-1.549730000E-6	5.431300000E+0	1.999976758E+4	3.010790000E+2
4.142550000E-6	-1.341110000E-6	5.419800000E+0	1.999976758E+4	3.035810000E+2
5.960490000E-6	-1.221900000E-6	5.408700000E+0	1.999976758E+4	3.055150000E+2
6.258520000E-6	-1.162300000E-6	5.394700000E+0	1.999976758E+4	3.087850000E+2
4.440580000E-6	-1.162300000E-6	5.381200000E+0	1.999976758E+4	3.107800000E+2
5.096230000E-6	-1.341110000E-6	5.370900000E+0	1.999976758E+4	3.136090000E+2
5.185630000E-6	-1.579530000E-6	5.360400000E+0	1.999976758E+4	3.155680000E+2
5.632670000E-6	-1.639140000E-6	5.348400000E+0	1.999976758E+4	3.180090000E+2
5.573060000E-6	-1.579530000E-6	5.338000000E+0	1.999976758E+4	3.195180000E+2
5.662470000E-6	-9.238760000E-7	5.323000000E+0	1.999976758E+4	3.229050000E+2
5.692270000E-6	-1.251700000E-6	5.312600000E+0	1.999976758E+4	3.251740000E+2
5.543260000E-6	-1.132500000E-6	5.301300000E+0	1.999976758E+4	3.277000000E+2
5.841280000E-6	-9.834840000E-7	5.290800000E+0	1.999976758E+4	3.290620000E+2
5.543260000E-6	-1.221900000E-6	5.279500000E+0	1.999976758E+4	3.316080000E+2
4.470380000E-6	-8.344690000E-7	5.269000000E+0	1.999976758E+4	3.339410000E+2
3.755110000E-6	-9.238760000E-7	5.257400000E+0	1.999976758E+4	3.362990000E+2
4.291560000E-6	-8.344690000E-7	5.245500000E+0	1.999976758E+4	3.382930000E+2
5.692270000E-6	-9.238760000E-7	5.233400000E+0	1.999976758E+4	3.405200000E+2
6.765160000E-6	-7.450620000E-7	5.222800000E+0	1.999976758E+4	3.434210000E+2
4.738600000E-6	-1.400720000E-6	5.211500000E+0	1.999976758E+4	3.453380000E+2
4.380970000E-6	-1.609330000E-6	5.200700000E+0	1.999976758E+4	3.469020000E+2
4.380970000E-6	-1.490120000E-6	5.189900000E+0	1.999976758E+4	3.496880000E+2
4.112750000E-6	-1.311310000E-6	5.177300000E+0	1.999976758E+4	3.521750000E+2
4.172350000E-6	-1.549730000E-6	5.167100000E+0	1.999976758E+4	3.541470000E+2
3.933940000E-6	-1.668940000E-6	5.155300000E+0	1.999976758E+4	3.565190000E+2
4.440580000E-6	-1.758340000E-6	5.144600000E+0	1.999976758E+4	3.589130000E+2
4.023340000E-6	-2.056370000E-6	5.134400000E+0	1.999976758E+4	3.607680000E+2
3.248470000E-6	-2.533210000E-6	5.123000000E+0	1.999976758E+4	3.633040000E+2
4.112750000E-6	-2.384200000E-6	5.111800000E+0	1.999976758E+4	3.655000000E+2
4.887610000E-6	-2.831240000E-6	5.100100000E+0	1.999976758E+4	3.676080000E+2
5.096230000E-6	-3.188860000E-6	5.089600000E+0	1.999976758E+4	3.701060000E+2
6.794960000E-6	-3.039850000E-6	5.078000000E+0	1.999976758E+4	3.720600000E+2
7.092980000E-6	-2.503410000E-6	5.066900000E+0	1.999976758E+4	3.744060000E+2
6.526740000E-6	-2.682220000E-6	5.055700000E+0	1.999976758E+4	3.768640000E+2
6.496940000E-6	-3.576290000E-6	5.043400000E+0	1.999976758E+4	3.787750000E+2
6.526740000E-6	-3.010050000E-6	5.032700000E+0	1.999976758E+4	3.813060000E+2
6.198910000E-6	-2.563010000E-6	5.022300000E+0	1.999976758E+4	3.831200000E+2
