20250523_HM463Mo3NbRu2_chiAC_vs_T_B_1.001.txt Fri, May 23, 2025 3:22:26 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

1T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-1.341110000E-7	2.533220000E-7	5.500700000E+0	9.999717773E+3	2.700000000E-2
-2.980250000E-8	2.309690000E-7	5.488700000E+0	9.999717773E+3	2.161000000E+1
2.980250000E-8	1.564630000E-7	5.476900000E+0	9.999717773E+3	2.366700000E+1
2.235190000E-8	3.129260000E-7	5.465100000E+0	9.999717773E+3	2.567300000E+1
-6.705570000E-8	3.948830000E-7	5.454800000E+0	9.999717773E+3	2.735900000E+1
1.490130000E-8	3.799810000E-7	5.443200000E+0	9.999717773E+3	3.017200000E+1
-5.960510000E-8	4.023330000E-7	5.432100000E+0	9.999717773E+3	3.255500000E+1
-6.705570000E-8	2.533220000E-7	5.420100000E+0	9.999717773E+3	3.460700000E+1
0.000000000E+0	2.905740000E-7	5.408400000E+0	9.999717773E+3	3.697000000E+1
0.000000000E+0	2.607720000E-7	5.396300000E+0	9.999717773E+3	3.935500000E+1
-5.215430000E-8	2.980250000E-7	5.384700000E+0	9.999717773E+3	4.176400000E+1
5.215430000E-8	1.117590000E-7	5.374300000E+0	9.999717773E+3	4.417100000E+1
7.450640000E-9	1.788150000E-7	5.361400000E+0	9.999717773E+3	4.614700000E+1
-1.490130000E-8	1.266610000E-7	5.350400000E+0	9.999717773E+3	4.853600000E+1
2.980250000E-8	2.086170000E-7	5.339600000E+0	9.999717773E+3	5.142800000E+1
3.725310000E-8	2.160680000E-7	5.328400000E+0	9.999717773E+3	5.300300000E+1
0.000000000E+0	1.341110000E-7	5.315900000E+0	9.999717773E+3	5.496100000E+1
-6.705570000E-8	2.533220000E-7	5.303700000E+0	9.999717773E+3	5.828400000E+1
-7.450640000E-9	2.831240000E-7	5.291600000E+0	9.999717773E+3	6.014400000E+1
2.235190000E-8	2.384200000E-7	5.281300000E+0	9.999717773E+3	6.260600000E+1
0.000000000E+0	1.192100000E-7	5.269700000E+0	9.999717773E+3	6.442100000E+1
0.000000000E+0	1.937160000E-7	5.257100000E+0	9.999717773E+3	6.734600000E+1
7.450640000E-9	1.490130000E-7	5.245400000E+0	9.999717773E+3	6.987900000E+1
-8.940740000E-8	3.129260000E-7	5.233000000E+0	9.999717773E+3	7.204500000E+1
1.490130000E-8	2.309690000E-7	5.222400000E+0	9.999717773E+3	7.442700000E+1
1.490130000E-8	2.458710000E-7	5.209700000E+0	9.999717773E+3	7.627400000E+1
0.000000000E+0	2.235180000E-7	5.196400000E+0	9.999717773E+3	7.963500000E+1
-5.215430000E-8	2.458710000E-7	5.185000000E+0	9.999717773E+3	8.162800000E+1
-6.705570000E-8	2.905740000E-7	5.174100000E+0	9.999717773E+3	8.388800000E+1
-7.450630000E-8	3.278270000E-7	5.163500000E+0	9.999717773E+3	8.646300000E+1
-1.192100000E-7	3.427290000E-7	5.151700000E+0	9.999717773E+3	8.829500000E+1
-9.685800000E-8	3.129260000E-7	5.140700000E+0	9.999717773E+3	9.068600000E+1
-1.415620000E-7	2.831240000E-7	5.128300000E+0	9.999717773E+3	9.284700000E+1
-7.450630000E-8	2.011670000E-7	5.117400000E+0	9.999717773E+3	9.495100000E+1
-1.415620000E-7	2.458710000E-7	5.106500000E+0	9.999717773E+3	9.755700000E+1
-8.940740000E-8	1.415620000E-7	5.095700000E+0	9.999717773E+3	9.973300000E+1
-1.192100000E-7	2.235190000E-8	5.083900000E+0	9.999717773E+3	1.017490000E+2
-2.533220000E-7	2.831240000E-7	5.071200000E+0	9.999717773E+3	1.041870000E+2
-1.415620000E-7	7.450630000E-8	5.059200000E+0	9.999717773E+3	1.071240000E+2
-1.639140000E-7	5.215430000E-8	5.047900000E+0	9.999717773E+3	1.090710000E+2
-8.940740000E-8	-1.490130000E-8	5.036800000E+0	9.999717773E+3	1.109600000E+2
-1.266610000E-7	3.725310000E-8	5.023700000E+0	9.999717773E+3	1.139340000E+2
-7.450630000E-8	1.862650000E-7	5.009100000E+0	9.999717773E+3	1.168240000E+2
-1.341110000E-7	3.054760000E-7	4.998300000E+0	9.999717773E+3	1.186920000E+2
-2.011670000E-7	3.799810000E-7	4.987600000E+0	9.999717773E+3	1.210870000E+2
-1.639140000E-7	2.533220000E-7	4.976600000E+0	9.999717773E+3	1.236740000E+2
-1.713640000E-7	2.235180000E-7	4.966500000E+0	9.999717773E+3	1.253250000E+2
-1.266610000E-7	2.607720000E-7	4.954200000E+0	9.999717773E+3	1.273470000E+2
-2.235180000E-7	2.980250000E-7	4.944100000E+0	9.999717773E+3	1.301920000E+2
-2.607720000E-7	4.023330000E-7	4.931300000E+0	9.999717773E+3	1.321380000E+2
-2.533220000E-7	3.799810000E-7	4.920500000E+0	9.999717773E+3	1.352160000E+2
-2.607720000E-7	4.693880000E-7	4.907900000E+0	9.999717773E+3	1.369280000E+2
-2.011670000E-7	4.321350000E-7	4.897700000E+0	9.999717773E+3	1.389930000E+2
-3.129260000E-7	3.948830000E-7	4.887100000E+0	9.999717773E+3	1.417490000E+2
-2.011670000E-7	4.991930000E-7	4.876500000E+0	9.999717773E+3	1.432000000E+2
-2.160680000E-7	4.097840000E-7	4.865300000E+0	9.999717773E+3	1.451080000E+2
-2.682230000E-7	4.023330000E-7	4.855200000E+0	9.999717773E+3	1.476130000E+2
-1.937160000E-7	3.129260000E-7	4.841700000E+0	9.999717773E+3	1.506730000E+2
-2.160680000E-7	3.650800000E-7	4.829500000E+0	9.999717773E+3	1.524010000E+2
-1.937160000E-7	2.682230000E-7	4.818900000E+0	9.999717773E+3	1.548210000E+2
-2.756730000E-7	3.576300000E-7	4.808200000E+0	9.999717773E+3	1.572260000E+2
-3.203770000E-7	3.799810000E-7	4.796900000E+0	9.999717773E+3	1.595940000E+2
-3.129260000E-7	4.246850000E-7	4.785700000E+0	9.999717773E+3	1.616200000E+2
-2.756730000E-7	3.725310000E-7	4.774400000E+0	9.999717773E+3	1.638520000E+2
-3.203770000E-7	4.470370000E-7	4.764300000E+0	9.999717773E+3	1.654760000E+2
-2.756730000E-7	3.278270000E-7	4.754200000E+0	9.999717773E+3	1.677240000E+2
-3.874320000E-7	4.395860000E-7	4.744000000E+0	9.999717773E+3	1.693470000E+2
-3.203770000E-7	3.650800000E-7	4.732400000E+0	9.999717773E+3	1.728010000E+2
-2.756730000E-7	4.246850000E-7	4.721400000E+0	9.999717773E+3	1.741590000E+2
-4.470370000E-7	4.246850000E-7	4.711200000E+0	9.999717773E+3	1.767020000E+2
-3.427290000E-7	4.023330000E-7	4.699300000E+0	9.999717773E+3	1.789670000E+2
-3.501790000E-7	3.278270000E-7	4.688600000E+0	9.999717773E+3	1.813280000E+2
-3.054760000E-7	2.309690000E-7	4.677000000E+0	9.999717773E+3	1.834720000E+2
-2.980250000E-7	2.980250000E-7	4.666300000E+0	9.999717773E+3	1.852050000E+2
-2.235180000E-7	3.799810000E-7	4.655500000E+0	9.999717773E+3	1.877390000E+2
-2.682230000E-7	3.501790000E-7	4.644800000E+0	9.999717773E+3	1.896330000E+2
-2.607720000E-7	3.725310000E-7	4.634000000E+0	9.999717773E+3	1.916830000E+2
-2.533220000E-7	3.874320000E-7	4.622600000E+0	9.999717773E+3	1.944500000E+2
-2.235180000E-7	3.054760000E-7	4.609700000E+0	9.999717773E+3	1.963940000E+2
-2.458710000E-7	3.427290000E-7	4.598900000E+0	9.999717773E+3	1.993820000E+2
-2.831240000E-7	2.905740000E-7	4.587900000E+0	9.999717773E+3	2.012260000E+2
-2.905740000E-7	3.427290000E-7	4.576900000E+0	9.999717773E+3	2.036000000E+2
-2.607720000E-7	3.129260000E-7	4.566500000E+0	9.999717773E+3	2.053440000E+2
-3.054760000E-7	2.533220000E-7	4.555800000E+0	9.999717773E+3	2.074730000E+2
-2.607720000E-7	1.415620000E-7	4.545200000E+0	9.999717773E+3	2.100140000E+2
-3.278270000E-7	2.011670000E-7	4.533900000E+0	9.999717773E+3	2.113430000E+2
-2.309690000E-7	7.450630000E-8	4.523300000E+0	9.999717773E+3	2.143050000E+2
-2.309690000E-7	-6.705570000E-8	4.509000000E+0	9.999717773E+3	2.168110000E+2
-4.172340000E-7	1.192100000E-7	4.498900000E+0	9.999717773E+3	2.187540000E+2
-4.917420000E-7	-4.470370000E-8	4.487700000E+0	9.999717773E+3	2.210710000E+2
-5.364450000E-7	-1.341110000E-7	4.475800000E+0	9.999717773E+3	2.237450000E+2
-6.035010000E-7	-1.341110000E-7	4.463500000E+0	9.999717773E+3	2.258630000E+2
-7.674130000E-7	-3.278270000E-7	4.452400000E+0	9.999717773E+3	2.284720000E+2
-7.897650000E-7	-4.693880000E-7	4.440900000E+0	9.999717773E+3	2.309490000E+2
-9.909340000E-7	-5.289950000E-7	4.430200000E+0	9.999717773E+3	2.322650000E+2
-1.095240000E-6	-8.419190000E-7	4.419400000E+0	9.999717773E+3	2.346760000E+2
-1.363460000E-6	-9.536820000E-7	4.408200000E+0	9.999717773E+3	2.371210000E+2
-1.527380000E-6	-1.147400000E-6	4.397600000E+0	9.999717773E+3	2.394660000E+2
-1.750890000E-6	-1.296410000E-6	4.386400000E+0	9.999717773E+3	2.416570000E+2
-1.922260000E-6	-1.542280000E-6	4.374400000E+0	9.999717773E+3	2.438680000E+2
-2.048920000E-6	-1.639140000E-6	4.360700000E+0	9.999717773E+3	2.458930000E+2
-2.421450000E-6	-1.952070000E-6	4.349400000E+0	9.999717773E+3	2.489770000E+2
-2.741830000E-6	-2.063830000E-6	4.337900000E+0	9.999717773E+3	2.506990000E+2
-3.077100000E-6	-2.108530000E-6	4.327400000E+0	9.999717773E+3	2.536900000E+2
-3.367680000E-6	-2.287340000E-6	4.315900000E+0	9.999717773E+3	2.557470000E+2
-3.539040000E-6	-2.443800000E-6	4.305000000E+0	9.999717773E+3	2.574890000E+2
-3.933940000E-6	-2.525760000E-6	4.293300000E+0	9.999717773E+3	2.604160000E+2
-4.291560000E-6	-2.749280000E-6	4.279400000E+0	9.999717773E+3	2.625750000E+2
-4.522530000E-6	-2.823780000E-6	4.267900000E+0	9.999717773E+3	2.652010000E+2
-4.924860000E-6	-2.980250000E-6	4.257200000E+0	9.999717773E+3	2.676580000E+2
-5.237790000E-6	-2.905740000E-6	4.246900000E+0	9.999717773E+3	2.692220000E+2
-5.476210000E-6	-3.173960000E-6	4.236400000E+0	9.999717773E+3	2.714670000E+2
-5.789130000E-6	-3.151610000E-6	4.225400000E+0	9.999717773E+3	2.738840000E+2
-6.020100000E-6	-3.211210000E-6	4.214500000E+0	9.999717773E+3	2.753330000E+2
-6.340470000E-6	-3.315520000E-6	4.202100000E+0	9.999717773E+3	2.782800000E+2
-6.683200000E-6	-3.427280000E-6	4.191600000E+0	9.999717773E+3	2.806620000E+2
-6.914170000E-6	-3.546490000E-6	4.179600000E+0	9.999717773E+3	2.825280000E+2
-7.323950000E-6	-3.553940000E-6	4.166500000E+0	9.999717773E+3	2.850790000E+2
-7.689060000E-6	-3.561390000E-6	4.153900000E+0	9.999717773E+3	2.880490000E+2
-8.031780000E-6	-3.621000000E-6	4.141900000E+0	9.999717773E+3	2.906010000E+2
-8.285100000E-6	-3.613550000E-6	4.131000000E+0	9.999717773E+3	2.923410000E+2
-8.620380000E-6	-3.621000000E-6	4.119200000E+0	9.999717773E+3	2.952160000E+2
-8.978010000E-6	-3.792360000E-6	4.105800000E+0	9.999717773E+3	2.973160000E+2
-9.253680000E-6	-3.770010000E-6	4.093800000E+0	9.999717773E+3	3.000120000E+2
-9.469750000E-6	-3.717850000E-6	4.082900000E+0	9.999717773E+3	3.020390000E+2
-9.812470000E-6	-3.911580000E-6	4.071800000E+0	9.999717773E+3	3.049940000E+2
-9.961480000E-6	-3.866880000E-6	4.059300000E+0	9.999717773E+3	3.068100000E+2
-1.033400000E-5	-3.889230000E-6	4.047900000E+0	9.999717773E+3	3.092500000E+2
-1.042340000E-5	-3.837080000E-6	4.036700000E+0	9.999717773E+3	3.113400000E+2
-1.068420000E-5	-3.814730000E-6	4.026600000E+0	9.999717773E+3	3.131040000E+2
-1.093750000E-5	-3.814730000E-6	4.015900000E+0	9.999717773E+3	3.156630000E+2
-1.128770000E-5	-3.889230000E-6	4.004000000E+0	9.999717773E+3	3.181240000E+2
-1.146650000E-5	-3.889230000E-6	3.993200000E+0	9.999717773E+3	3.202680000E+2
-1.162300000E-5	-3.881780000E-6	3.983100000E+0	9.999717773E+3	3.220110000E+2
-1.191350000E-5	-3.866880000E-6	3.970500000E+0	9.999717773E+3	3.246910000E+2
-1.209240000E-5	-3.919030000E-6	3.960300000E+0	9.999717773E+3	3.266620000E+2
-1.235310000E-5	-3.948840000E-6	3.946800000E+0	9.999717773E+3	3.296180000E+2
-1.261390000E-5	-3.829630000E-6	3.934400000E+0	9.999717773E+3	3.317430000E+2
-1.280020000E-5	-3.926490000E-6	3.921600000E+0	9.999717773E+3	3.344460000E+2
-1.299390000E-5	-3.799810000E-6	3.910000000E+0	9.999717773E+3	3.367930000E+2
-1.318010000E-5	-3.844530000E-6	3.899700000E+0	9.999717773E+3	3.388070000E+2
-1.348560000E-5	-3.822180000E-6	3.887100000E+0	9.999717773E+3	3.412030000E+2
-1.360480000E-5	-3.822180000E-6	3.877000000E+0	9.999717773E+3	3.427170000E+2
-1.381340000E-5	-3.851980000E-6	3.866000000E+0	9.999717773E+3	3.457340000E+2
-1.412640000E-5	-4.045690000E-6	3.855500000E+0	9.999717773E+3	3.480110000E+2
-1.426790000E-5	-3.941390000E-6	3.841800000E+0	9.999717773E+3	3.500100000E+2
-1.453610000E-5	-3.807260000E-6	3.830900000E+0	9.999717773E+3	3.524090000E+2
-1.470750000E-5	-3.770010000E-6	3.820500000E+0	9.999717773E+3	3.548290000E+2
-1.487140000E-5	-3.829630000E-6	3.808100000E+0	9.999717773E+3	3.567870000E+2
-1.503530000E-5	-3.866880000E-6	3.797800000E+0	9.999717773E+3	3.593310000E+2
-1.519920000E-5	-3.859430000E-6	3.787200000E+0	9.999717773E+3	3.616440000E+2
-1.526640000E-5	-3.770010000E-6	3.776800000E+0	9.999717773E+3	3.630930000E+2
-1.560160000E-5	-3.866880000E-6	3.764900000E+0	9.999717773E+3	3.657180000E+2
-1.571340000E-5	-3.889230000E-6	3.752900000E+0	9.999717773E+3	3.684410000E+2
-1.595180000E-5	-3.904130000E-6	3.742200000E+0	9.999717773E+3	3.703900000E+2
-1.612320000E-5	-3.814730000E-6	3.732100000E+0	9.999717773E+3	3.725550000E+2
-1.624980000E-5	-3.837080000E-6	3.721600000E+0	9.999717773E+3	3.742600000E+2
-1.634670000E-5	-3.814730000E-6	3.710100000E+0	9.999717773E+3	3.762720000E+2
-1.658510000E-5	-3.866880000E-6	3.698800000E+0	9.999717773E+3	3.790460000E+2
-1.675650000E-5	-3.837080000E-6	3.687300000E+0	9.999717773E+3	3.810900000E+2
-1.706190000E-5	-3.777460000E-6	3.675600000E+0	9.999717773E+3	3.840620000E+2
-1.711410000E-5	-3.874330000E-6	3.663600000E+0	9.999717773E+3	3.861180000E+2
-1.741960000E-5	-3.777460000E-6	3.652700000E+0	9.999717773E+3	3.878560000E+2
-1.744940000E-5	-3.822180000E-6	3.640800000E+0	9.999717773E+3	3.908560000E+2
-1.750900000E-5	-3.837080000E-6	3.630700000E+0	9.999717773E+3	3.923620000E+2
-1.773990000E-5	-3.762560000E-6	3.619000000E+0	9.999717773E+3	3.947040000E+2
-1.811990000E-5	-3.665700000E-6	3.597700000E+0	9.999717773E+3	3.987750000E+2
-1.829130000E-5	-3.680600000E-6	3.586800000E+0	9.999717773E+3	4.009380000E+2
-1.847760000E-5	-3.680600000E-6	3.574500000E+0	9.999717773E+3	4.041130000E+2
-1.859680000E-5	-3.755110000E-6	3.561300000E+0	9.999717773E+3	4.062840000E+2
-1.879790000E-5	-3.680600000E-6	3.551000000E+0	9.999717773E+3	4.093260000E+2
-1.904380000E-5	-3.710400000E-6	3.537700000E+0	9.999717773E+3	4.114770000E+2
-1.922260000E-5	-3.680600000E-6	3.524600000E+0	9.999717773E+3	4.147290000E+2
-1.931200000E-5	-3.680600000E-6	3.512200000E+0	9.999717773E+3	4.167620000E+2
-1.943120000E-5	-3.531590000E-6	3.499200000E+0	9.999717773E+3	4.199620000E+2
-1.935670000E-5	-3.449630000E-6	3.488100000E+0	9.999717773E+3	4.220870000E+2
-1.954300000E-5	-3.322970000E-6	3.473300000E+0	9.999717773E+3	4.253040000E+2
-1.969950000E-5	-3.300620000E-6	3.462800000E+0	9.999717773E+3	4.274750000E+2
-1.995280000E-5	-3.427280000E-6	3.449800000E+0	9.999717773E+3	4.306760000E+2
-1.986340000E-5	-3.278270000E-6	3.436200000E+0	9.999717773E+3	4.327780000E+2
-2.026570000E-5	-3.315520000E-6	3.425100000E+0	9.999717773E+3	4.359530000E+2
-2.040730000E-5	-3.255920000E-6	3.412000000E+0	9.999717773E+3	4.381080000E+2
-2.063080000E-5	-3.352780000E-6	3.397800000E+0	9.999717773E+3	4.413120000E+2
-2.085430000E-5	-3.300620000E-6	3.385800000E+0	9.999717773E+3	4.434260000E+2
-2.094370000E-5	-3.226120000E-6	3.369200000E+0	9.999717773E+3	4.470840000E+2
-2.100330000E-5	-3.077100000E-6	3.358800000E+0	9.999717773E+3	4.502560000E+2
-2.137580000E-5	-3.106910000E-6	3.342300000E+0	9.999717773E+3	4.523410000E+2
-2.130880000E-5	-3.203760000E-6	3.327000000E+0	9.999717773E+3	4.561060000E+2
-2.165150000E-5	-3.092010000E-6	3.311100000E+0	9.999717773E+3	4.592990000E+2
-2.173350000E-5	-3.017500000E-6	3.298100000E+0	9.999717773E+3	4.625030000E+2
-2.183780000E-5	-3.062200000E-6	3.284300000E+0	9.999717773E+3	4.646210000E+2
-2.209110000E-5	-3.084550000E-6	3.272100000E+0	9.999717773E+3	4.678150000E+2
-2.219540000E-5	-3.099460000E-6	3.260800000E+0	9.999717773E+3	4.699700000E+2
-2.235930000E-5	-3.106910000E-6	3.245400000E+0	9.999717773E+3	4.736140000E+2
-2.241150000E-5	-3.010050000E-6	3.233000000E+0	9.999717773E+3	4.757110000E+2
-2.262750000E-5	-3.039850000E-6	3.221100000E+0	9.999717773E+3	4.783410000E+2
-2.270950000E-5	-3.062200000E-6	3.207900000E+0	9.999717773E+3	4.815500000E+2
-2.278400000E-5	-3.084550000E-6	3.196300000E+0	9.999717773E+3	4.837270000E+2
-2.308200000E-5	-3.032400000E-6	3.182300000E+0	9.999717773E+3	4.868600000E+2
-2.314910000E-5	-2.995150000E-6	3.168900000E+0	9.999717773E+3	4.889970000E+2
-2.312670000E-5	-2.980250000E-6	3.158200000E+0	9.999717773E+3	4.915730000E+2
-2.343960000E-5	-2.950440000E-6	3.144900000E+0	9.999717773E+3	4.947550000E+2
-2.341730000E-5	-2.928090000E-6	3.133200000E+0	9.999717773E+3	4.968930000E+2
-2.360360000E-5	-2.913190000E-6	3.119500000E+0	9.999717773E+3	5.000640000E+2
-2.356630000E-5	-2.928090000E-6	3.109300000E+0	9.999717773E+3	5.022200000E+2
-2.384200000E-5	-2.898290000E-6	3.097200000E+0	9.999717773E+3	5.043380000E+2
-2.388670000E-5	-2.831240000E-6	3.086300000E+0	9.999717773E+3	5.070150000E+2
-2.405800000E-5	-2.853590000E-6	3.073800000E+0	9.999717773E+3	5.091360000E+2
-2.420710000E-5	-2.980250000E-6	3.061200000E+0	9.999717773E+3	5.123290000E+2
-2.429650000E-5	-2.756730000E-6	3.050300000E+0	9.999717773E+3	5.144700000E+2
-2.434860000E-5	-2.831240000E-6	3.038700000E+0	9.999717773E+3	5.170000000E+2
-2.439330000E-5	-2.764180000E-6	3.028300000E+0	9.999717773E+3	5.191240000E+2
