20250526_HM464MoNbRu2_chiAC_vs_T_B_0T.003.txt Mon, May 26, 2025 3:37:51 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
-3.576300000E-7	-7.450640000E-9	5.001200000E+0	3.460338712E-1	2.600000000E-2
-2.980250000E-7	-5.215430000E-8	4.990500000E+0	3.460338712E-1	7.067300000E+1
-3.576300000E-7	-1.490130000E-8	4.979100000E+0	3.460338712E-1	7.221000000E+1
-3.576300000E-7	-2.980250000E-8	4.968000000E+0	3.460338712E-1	7.381000000E+1
-3.501790000E-7	-1.490130000E-8	4.956400000E+0	3.460338712E-1	7.661100000E+1
-3.576300000E-7	-2.980250000E-8	4.945600000E+0	3.460338712E-1	7.908100000E+1
-3.874320000E-7	-3.725310000E-8	4.932900000E+0	3.460338712E-1	8.139300000E+1
-3.576300000E-7	-2.235190000E-8	4.921900000E+0	3.460338712E-1	8.342000000E+1
-3.501790000E-7	-3.725310000E-8	4.911600000E+0	3.460338712E-1	8.581800000E+1
-3.874320000E-7	-4.470370000E-8	4.901100000E+0	3.460338712E-1	8.850600000E+1
-3.948830000E-7	-8.940740000E-8	4.889000000E+0	3.460338712E-1	9.013200000E+1
-4.023330000E-7	-9.685800000E-8	4.878100000E+0	3.460338712E-1	9.249300000E+1
-5.438960000E-7	-2.682230000E-7	4.866200000E+0	3.460338712E-1	9.490800000E+1
-7.078090000E-7	-8.717220000E-7	4.855500000E+0	3.460338712E-1	9.647800000E+1
-1.907360000E-6	-3.740210000E-6	4.844000000E+0	3.460338712E-1	9.928900000E+1
-5.498560000E-6	-8.419210000E-6	4.833600000E+0	3.460338712E-1	1.016830000E+2
-9.276030000E-6	-1.158570000E-5	4.823100000E+0	3.460338712E-1	1.033260000E+2
-1.685330000E-5	-1.561650000E-5	4.812100000E+0	3.460338712E-1	1.052650000E+2
-2.568230000E-5	-1.799330000E-5	4.801300000E+0	3.460338712E-1	1.081090000E+2
-3.246990000E-5	-1.870110000E-5	4.789300000E+0	3.460338712E-1	1.100920000E+2
-4.081450000E-5	-1.866380000E-5	4.778800000E+0	3.460338712E-1	1.120940000E+2
-4.813840000E-5	-1.814970000E-5	4.768200000E+0	3.460338712E-1	1.144920000E+2
-5.371150000E-5	-1.744940000E-5	4.757600000E+0	3.460338712E-1	1.168880000E+2
-5.924720000E-5	-1.660000000E-5	4.746000000E+0	3.460338712E-1	1.188980000E+2
-6.487270000E-5	-1.551970000E-5	4.734800000E+0	3.460338712E-1	1.213750000E+2
-6.803170000E-5	-1.487140000E-5	4.724100000E+0	3.460338712E-1	1.230250000E+2
-7.382080000E-5	-1.357500000E-5	4.713800000E+0	3.460338712E-1	1.257180000E+2
-7.604110000E-5	-1.303110000E-5	4.703700000E+0	3.460338712E-1	1.276210000E+2
-7.946090000E-5	-1.214450000E-5	4.691700000E+0	3.460338712E-1	1.297430000E+2
-8.310420000E-5	-1.102690000E-5	4.678500000E+0	3.460338712E-1	1.323700000E+2
-8.554800000E-5	-1.026700000E-5	4.668300000E+0	3.460338712E-1	1.343550000E+2
-8.785770000E-5	-9.492100000E-6	4.656900000E+0	3.460338712E-1	1.368120000E+2
-9.007050000E-5	-8.679980000E-6	4.645100000E+0	3.460338712E-1	1.387910000E+2
-9.215670000E-5	-7.875320000E-6	4.633600000E+0	3.460338712E-1	1.411700000E+2
-9.412370000E-5	-7.160040000E-6	4.622600000E+0	3.460338712E-1	1.442140000E+2
-9.518910000E-5	-6.727900000E-6	4.610600000E+0	3.460338712E-1	1.460200000E+2
-9.684310000E-5	-6.020100000E-6	4.598400000E+0	3.460338712E-1	1.485170000E+2
-9.782660000E-5	-5.640120000E-6	4.586300000E+0	3.460338712E-1	1.503710000E+2
-9.901120000E-5	-5.155830000E-6	4.576000000E+0	3.460338712E-1	1.527810000E+2
-1.000990000E-4	-4.686440000E-6	4.563900000E+0	3.460338712E-1	1.553540000E+2
-1.008740000E-4	-4.425670000E-6	4.552700000E+0	3.460338712E-1	1.575950000E+2
-1.014330000E-4	-4.112750000E-6	4.542600000E+0	3.460338712E-1	1.591820000E+2
-1.022600000E-4	-3.814730000E-6	4.532400000E+0	3.460338712E-1	1.614630000E+2
-1.029380000E-4	-3.457080000E-6	4.521000000E+0	3.460338712E-1	1.644460000E+2
-1.033620000E-4	-3.285720000E-6	4.510900000E+0	3.460338712E-1	1.661180000E+2
-1.038760000E-4	-3.069650000E-6	4.499900000E+0	3.460338712E-1	1.678500000E+2
-1.044280000E-4	-2.779080000E-6	4.488200000E+0	3.460338712E-1	1.708190000E+2
-1.047330000E-4	-2.689670000E-6	4.477800000E+0	3.460338712E-1	1.725410000E+2
-1.051060000E-4	-2.481060000E-6	4.467500000E+0	3.460338712E-1	1.745240000E+2
-1.054930000E-4	-2.332050000E-6	4.455400000E+0	3.460338712E-1	1.770580000E+2
-1.058730000E-4	-2.183030000E-6	4.443700000E+0	3.460338712E-1	1.789820000E+2
-1.062010000E-4	-2.048920000E-6	4.432600000E+0	3.460338712E-1	1.818590000E+2
-1.065440000E-4	-1.885000000E-6	4.420200000E+0	3.460338712E-1	1.839830000E+2
-1.068050000E-4	-1.773250000E-6	4.407700000E+0	3.460338712E-1	1.867150000E+2
-1.070580000E-4	-1.601880000E-6	4.396400000E+0	3.460338712E-1	1.890700000E+2
-1.072520000E-4	-1.586980000E-6	4.386000000E+0	3.460338712E-1	1.908670000E+2
-1.074450000E-4	-1.542280000E-6	4.375300000E+0	3.460338712E-1	1.929400000E+2
-1.077210000E-4	-1.385820000E-6	4.363400000E+0	3.460338712E-1	1.954460000E+2
-1.078400000E-4	-1.266610000E-6	4.351300000E+0	3.460338712E-1	1.979910000E+2
-1.080120000E-4	-1.236800000E-6	4.340500000E+0	3.460338712E-1	1.997140000E+2
-1.081680000E-4	-1.139950000E-6	4.329600000E+0	3.460338712E-1	2.022900000E+2
-1.083100000E-4	-1.050540000E-6	4.318400000E+0	3.460338712E-1	2.045210000E+2
-1.084880000E-4	-1.057990000E-6	4.307500000E+0	3.460338712E-1	2.065320000E+2
-1.086080000E-4	-1.005840000E-6	4.296500000E+0	3.460338712E-1	2.091330000E+2
-1.086900000E-4	-9.462270000E-7	4.286100000E+0	3.460338712E-1	2.104530000E+2
-1.088010000E-4	-8.791720000E-7	4.274300000E+0	3.460338712E-1	2.133510000E+2
-1.089430000E-4	-7.972160000E-7	4.258900000E+0	3.460338712E-1	2.158920000E+2
-1.090770000E-4	-7.823150000E-7	4.246700000E+0	3.460338712E-1	2.186670000E+2
-1.091510000E-4	-7.152590000E-7	4.236600000E+0	3.460338712E-1	2.206840000E+2
-1.092110000E-4	-6.780060000E-7	4.222100000E+0	3.460338712E-1	2.236120000E+2
-1.093080000E-4	-6.258520000E-7	4.211200000E+0	3.460338712E-1	2.257280000E+2
-1.093900000E-4	-6.035010000E-7	4.199900000E+0	3.460338712E-1	2.284170000E+2
-1.094420000E-4	-5.438960000E-7	4.186900000E+0	3.460338712E-1	2.304030000E+2
-1.095540000E-4	-4.842910000E-7	4.175300000E+0	3.460338712E-1	2.327970000E+2
-1.096060000E-4	-5.289950000E-7	4.163700000E+0	3.460338712E-1	2.355850000E+2
-1.096580000E-4	-5.066430000E-7	4.151900000E+0	3.460338712E-1	2.376040000E+2
-1.097620000E-4	-4.470370000E-7	4.139800000E+0	3.460338712E-1	2.401380000E+2
-1.097700000E-4	-4.246850000E-7	4.128000000E+0	3.460338712E-1	2.424000000E+2
-1.098820000E-4	-4.097840000E-7	4.116300000E+0	3.460338712E-1	2.443960000E+2
-1.098820000E-4	-4.395860000E-7	4.105100000E+0	3.460338712E-1	2.473820000E+2
-1.099110000E-4	-3.799810000E-7	4.092500000E+0	3.460338712E-1	2.491920000E+2
-1.099780000E-4	-3.650800000E-7	4.080100000E+0	3.460338712E-1	2.521800000E+2
-1.100530000E-4	-3.203770000E-7	4.068900000E+0	3.460338712E-1	2.541430000E+2
-1.101350000E-4	-3.278270000E-7	4.055900000E+0	3.460338712E-1	2.569910000E+2
-1.100830000E-4	-2.905740000E-7	4.045200000E+0	3.460338712E-1	2.593420000E+2
-1.101570000E-4	-2.831240000E-7	4.034200000E+0	3.460338712E-1	2.610840000E+2
-1.101870000E-4	-2.607720000E-7	4.024000000E+0	3.460338712E-1	2.632620000E+2
-1.102090000E-4	-2.682230000E-7	4.012000000E+0	3.460338712E-1	2.657920000E+2
-1.102840000E-4	-2.458710000E-7	3.999000000E+0	3.460338712E-1	2.681360000E+2
-1.102910000E-4	-2.607720000E-7	3.988300000E+0	3.460338712E-1	2.700070000E+2
-1.103290000E-4	-2.607720000E-7	3.978200000E+0	3.460338712E-1	2.729360000E+2
-1.103360000E-4	-2.235180000E-7	3.967100000E+0	3.460338712E-1	2.747110000E+2
-1.104550000E-4	-1.937160000E-7	3.956900000E+0	3.460338712E-1	2.764330000E+2
-1.103660000E-4	-1.639140000E-7	3.944600000E+0	3.460338712E-1	2.793910000E+2
-1.103960000E-4	-1.937160000E-7	3.933200000E+0	3.460338712E-1	2.813710000E+2
-1.104630000E-4	-1.788150000E-7	3.922800000E+0	3.460338712E-1	2.836030000E+2
-1.104550000E-4	-1.639140000E-7	3.911600000E+0	3.460338712E-1	2.855990000E+2
-1.105150000E-4	-2.160680000E-7	3.901000000E+0	3.460338712E-1	2.882750000E+2
-1.105220000E-4	-1.564630000E-7	3.889100000E+0	3.460338712E-1	2.904040000E+2
-1.105520000E-4	-1.415620000E-7	3.876700000E+0	3.460338712E-1	2.924210000E+2
-1.105750000E-4	-1.490130000E-7	3.865900000E+0	3.460338712E-1	2.953400000E+2
-1.105750000E-4	-1.341110000E-7	3.853200000E+0	3.460338712E-1	2.972390000E+2
-1.106270000E-4	-1.341110000E-7	3.842300000E+0	3.460338712E-1	3.001760000E+2
-1.106120000E-4	-1.490130000E-7	3.830200000E+0	3.460338712E-1	3.022220000E+2
-1.106420000E-4	-1.415620000E-7	3.819200000E+0	3.460338712E-1	3.040110000E+2
-1.106340000E-4	-1.043090000E-7	3.806100000E+0	3.460338712E-1	3.069490000E+2
-1.106490000E-4	-1.266610000E-7	3.794800000E+0	3.460338712E-1	3.093460000E+2
-1.106640000E-4	-6.705570000E-8	3.784100000E+0	3.460338712E-1	3.108020000E+2
-1.106940000E-4	-9.685800000E-8	3.772300000E+0	3.460338712E-1	3.137760000E+2
-1.106860000E-4	-1.043090000E-7	3.759700000E+0	3.460338712E-1	3.157520000E+2
-1.107240000E-4	-7.450630000E-8	3.748500000E+0	3.460338712E-1	3.185340000E+2
-1.107310000E-4	-8.940740000E-8	3.735800000E+0	3.460338712E-1	3.209450000E+2
-1.107760000E-4	-1.043090000E-7	3.725700000E+0	3.460338712E-1	3.225450000E+2
-1.107680000E-4	-9.685800000E-8	3.713500000E+0	3.460338712E-1	3.255980000E+2
-1.107310000E-4	-6.705570000E-8	3.700800000E+0	3.460338712E-1	3.277520000E+2
-1.107910000E-4	-2.980250000E-8	3.690700000E+0	3.460338712E-1	3.297530000E+2
-1.107530000E-4	-7.450630000E-8	3.675900000E+0	3.460338712E-1	3.326860000E+2
-1.107830000E-4	-5.960510000E-8	3.663900000E+0	3.460338712E-1	3.357350000E+2
-1.108130000E-4	-6.705570000E-8	3.653600000E+0	3.460338712E-1	3.375260000E+2
-1.108130000E-4	-7.450630000E-8	3.641000000E+0	3.460338712E-1	3.394850000E+2
-1.108350000E-4	-5.960510000E-8	3.628800000E+0	3.460338712E-1	3.425770000E+2
-1.107830000E-4	-5.960510000E-8	3.616400000E+0	3.460338712E-1	3.448280000E+2
-1.108430000E-4	-3.725310000E-8	3.603700000E+0	3.460338712E-1	3.469820000E+2
-1.108650000E-4	-8.195680000E-8	3.587000000E+0	3.460338712E-1	3.505950000E+2
-1.108650000E-4	-3.725310000E-8	3.572500000E+0	3.460338712E-1	3.542840000E+2
-1.108580000E-4	-7.450640000E-9	3.557500000E+0	3.460338712E-1	3.564230000E+2
-1.108730000E-4	-3.725310000E-8	3.546000000E+0	3.460338712E-1	3.596450000E+2
-1.109020000E-4	-6.705570000E-8	3.531400000E+0	3.460338712E-1	3.618240000E+2
-1.109020000E-4	-3.725310000E-8	3.520300000E+0	3.460338712E-1	3.653410000E+2
-1.109100000E-4	-1.490130000E-8	3.504700000E+0	3.460338712E-1	3.674920000E+2
-1.109250000E-4	-1.490130000E-8	3.488700000E+0	3.460338712E-1	3.717490000E+2
-1.109400000E-4	0.000000000E+0	3.476300000E+0	3.460338712E-1	3.739440000E+2
-1.109400000E-4	-2.235190000E-8	3.462900000E+0	3.460338712E-1	3.771240000E+2
-1.109770000E-4	-4.470370000E-8	3.450600000E+0	3.460338712E-1	3.792700000E+2
-1.109550000E-4	-7.450640000E-9	3.436700000E+0	3.460338712E-1	3.825720000E+2
-1.110070000E-4	7.450640000E-9	3.422900000E+0	3.460338712E-1	3.856800000E+2
-1.109690000E-4	0.000000000E+0	3.410900000E+0	3.460338712E-1	3.877730000E+2
-1.109400000E-4	-2.980250000E-8	3.397700000E+0	3.460338712E-1	3.915490000E+2
-1.109840000E-4	1.490130000E-8	3.383000000E+0	3.460338712E-1	3.936480000E+2
-1.109770000E-4	-7.450640000E-9	3.370100000E+0	3.460338712E-1	3.968900000E+2
-1.109990000E-4	1.490130000E-8	3.359000000E+0	3.460338712E-1	3.990230000E+2
-1.109770000E-4	0.000000000E+0	3.344800000E+0	3.460338712E-1	4.021690000E+2
-1.109840000E-4	-2.235190000E-8	3.333400000E+0	3.460338712E-1	4.043050000E+2
-1.110360000E-4	-2.980250000E-8	3.323100000E+0	3.460338712E-1	4.064260000E+2
-1.110070000E-4	0.000000000E+0	3.312000000E+0	3.460338712E-1	4.096460000E+2
-1.109690000E-4	-7.450640000E-9	3.299900000E+0	3.460338712E-1	4.118240000E+2
-1.109920000E-4	-7.450640000E-9	3.289000000E+0	3.460338712E-1	4.139560000E+2
-1.110220000E-4	1.490130000E-8	3.278900000E+0	3.460338712E-1	4.160480000E+2
-1.110960000E-4	0.000000000E+0	3.268800000E+0	3.460338712E-1	4.182240000E+2
-1.110220000E-4	7.450640000E-9	3.254600000E+0	3.460338712E-1	4.214210000E+2
-1.110440000E-4	3.725310000E-8	3.244300000E+0	3.460338712E-1	4.235600000E+2
-1.109020000E-4	5.960510000E-8	3.227900000E+0	3.460338712E-1	4.267120000E+2
-1.109320000E-4	7.450640000E-9	3.217600000E+0	3.460338712E-1	4.288730000E+2
-1.108950000E-4	0.000000000E+0	3.207500000E+0	3.460338712E-1	4.320600000E+2
-1.109550000E-4	2.235190000E-8	3.190700000E+0	3.460338712E-1	4.341990000E+2
-1.108870000E-4	4.470370000E-8	3.179500000E+0	3.460338712E-1	4.377680000E+2
-1.109770000E-4	7.450640000E-9	3.167300000E+0	3.460338712E-1	4.399250000E+2
-1.109690000E-4	1.490130000E-8	3.156300000E+0	3.460338712E-1	4.425880000E+2
-1.109470000E-4	2.980250000E-8	3.143100000E+0	3.460338712E-1	4.447580000E+2
-1.109690000E-4	7.450640000E-9	3.131200000E+0	3.460338712E-1	4.479600000E+2
-1.109550000E-4	1.490130000E-8	3.118800000E+0	3.460338712E-1	4.500770000E+2
-1.109690000E-4	5.960510000E-8	3.104000000E+0	3.460338712E-1	4.533080000E+2
-1.109770000E-4	4.470370000E-8	3.092700000E+0	3.460338712E-1	4.554170000E+2
-1.109550000E-4	4.470370000E-8	3.082300000E+0	3.460338712E-1	4.579460000E+2
-1.109690000E-4	4.470370000E-8	3.070900000E+0	3.460338712E-1	4.601020000E+2
-1.109840000E-4	5.215430000E-8	3.059100000E+0	3.460338712E-1	4.632500000E+2
-1.109840000E-4	5.215430000E-8	3.046300000E+0	3.460338712E-1	4.654400000E+2
-1.110220000E-4	6.705570000E-8	3.030700000E+0	3.460338712E-1	4.686700000E+2
-1.110290000E-4	2.980250000E-8	3.016000000E+0	3.460338712E-1	4.721910000E+2
-1.110070000E-4	7.450640000E-9	3.002000000E+0	3.460338712E-1	4.743160000E+2
-1.110290000E-4	2.980250000E-8	2.988200000E+0	3.460338712E-1	4.775460000E+2
-1.110070000E-4	7.450640000E-9	2.975300000E+0	3.460338712E-1	4.807710000E+2
-1.109920000E-4	3.725310000E-8	2.961000000E+0	3.460338712E-1	4.828690000E+2
-1.110290000E-4	2.235190000E-8	2.945900000E+0	3.460338712E-1	4.866210000E+2
-1.109770000E-4	7.450630000E-8	2.935000000E+0	3.460338712E-1	4.887510000E+2
-1.109690000E-4	3.725310000E-8	2.917300000E+0	3.460338712E-1	4.919600000E+2
-1.109840000E-4	5.960510000E-8	2.903200000E+0	3.460338712E-1	4.955190000E+2
-1.110510000E-4	7.450640000E-9	2.892600000E+0	3.460338712E-1	4.973880000E+2
-1.110290000E-4	2.235190000E-8	2.877600000E+0	3.460338712E-1	5.008730000E+2
-1.110360000E-4	5.960510000E-8	2.867000000E+0	3.460338712E-1	5.030130000E+2
-1.110290000E-4	2.980250000E-8	2.853800000E+0	3.460338712E-1	5.057330000E+2
-1.110510000E-4	3.725310000E-8	2.843700000E+0	3.460338712E-1	5.082460000E+2
-1.110220000E-4	3.725310000E-8	2.829300000E+0	3.460338712E-1	5.108950000E+2
-1.110740000E-4	5.960510000E-8	2.813200000E+0	3.460338712E-1	5.145000000E+2
-1.110590000E-4	4.470370000E-8	2.802600000E+0	3.460338712E-1	5.166390000E+2
-1.110960000E-4	5.215430000E-8	2.788700000E+0	3.460338712E-1	5.192600000E+2
-1.110360000E-4	7.450630000E-8	2.777500000E+0	3.460338712E-1	5.224760000E+2
-1.110290000E-4	5.960510000E-8	2.760000000E+0	3.460338712E-1	5.246680000E+2
-1.110440000E-4	7.450630000E-8	2.746200000E+0	3.460338712E-1	5.282020000E+2
-1.110960000E-4	5.215430000E-8	2.735900000E+0	3.460338712E-1	5.303960000E+2
-1.110960000E-4	2.980250000E-8	2.724200000E+0	3.460338712E-1	5.329020000E+2
-1.110440000E-4	5.960510000E-8	2.713800000E+0	3.460338712E-1	5.349920000E+2
-1.110740000E-4	2.980250000E-8	2.697700000E+0	3.460338712E-1	5.380820000E+2
-1.110810000E-4	3.725310000E-8	2.683300000E+0	3.460338712E-1	5.416830000E+2
-1.110360000E-4	2.980250000E-8	2.670700000E+0	3.460338712E-1	5.438760000E+2
-1.110510000E-4	8.195680000E-8	2.660700000E+0	3.460338712E-1	5.465040000E+2
-1.110360000E-4	2.980250000E-8	2.647300000E+0	3.460338712E-1	5.486160000E+2
-1.110740000E-4	5.215430000E-8	2.633100000E+0	3.460338712E-1	5.523020000E+2
-1.110960000E-4	5.960510000E-8	2.623100000E+0	3.460338712E-1	5.543810000E+2
-1.110810000E-4	1.043090000E-7	2.605900000E+0	3.460338712E-1	5.574440000E+2
-1.111040000E-4	8.940740000E-8	2.589900000E+0	3.460338712E-1	5.611410000E+2
-1.110890000E-4	5.960510000E-8	2.579700000E+0	3.460338712E-1	5.633290000E+2
-1.110960000E-4	2.980250000E-8	2.562700000E+0	3.460338712E-1	5.665080000E+2
-1.111260000E-4	5.215430000E-8	2.544300000E+0	3.460338712E-1	5.706130000E+2
-1.110810000E-4	5.960510000E-8	2.533400000E+0	3.460338712E-1	5.727580000E+2
-1.110960000E-4	5.960510000E-8	2.520200000E+0	3.460338712E-1	5.759590000E+2
-1.111180000E-4	5.960510000E-8	2.505400000E+0	3.460338712E-1	5.791400000E+2
-1.110960000E-4	7.450630000E-8	2.493800000E+0	3.460338712E-1	5.812930000E+2
