20250527_HM464MoNbRu2_chiAC_vs_T_B_3T.003.txt Tue, May 27, 2025 3:37:36 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

3T
Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
1.490130000E-7	-2.980250000E-7	5.000400000E+0	2.999981445E+4	3.300000000E-2
-7.450620000E-7	5.066430000E-7	4.988500000E+0	2.999981445E+4	2.704200000E+1
2.980250000E-8	-1.788150000E-7	4.977300000E+0	2.999981445E+4	2.863700000E+1
8.940740000E-8	-2.384200000E-7	4.966300000E+0	2.999981445E+4	3.064600000E+1
-1.192100000E-7	5.960510000E-8	4.956300000E+0	2.999981445E+4	3.302800000E+1
-5.364450000E-7	2.980250000E-7	4.945800000E+0	2.999981445E+4	3.504900000E+1
-5.066430000E-7	2.384200000E-7	4.934600000E+0	2.999981445E+4	3.705100000E+1
-8.046660000E-7	4.470370000E-7	4.921900000E+0	2.999981445E+4	4.032200000E+1
-7.152590000E-7	3.278270000E-7	4.910700000E+0	2.999981445E+4	4.184300000E+1
-8.344690000E-7	-5.960510000E-8	4.900100000E+0	2.999981445E+4	4.437700000E+1
-8.940730000E-7	1.490130000E-7	4.889100000E+0	2.999981445E+4	4.637700000E+1
4.470370000E-7	-5.960510000E-8	4.878800000E+0	2.999981445E+4	4.876300000E+1
0.000000000E+0	1.490130000E-7	4.867700000E+0	2.999981445E+4	5.040000000E+1
-7.450620000E-7	2.980250000E-7	4.854800000E+0	2.999981445E+4	5.322100000E+1
-2.980250000E-7	2.384200000E-7	4.843100000E+0	2.999981445E+4	5.604000000E+1
5.960510000E-8	2.384200000E-7	4.832100000E+0	2.999981445E+4	5.782500000E+1
8.940740000E-8	6.258520000E-7	4.818200000E+0	2.999981445E+4	6.070000000E+1
3.278270000E-7	6.258520000E-7	4.806300000E+0	2.999981445E+4	6.288700000E+1
-6.258520000E-7	8.344690000E-7	4.793400000E+0	2.999981445E+4	6.532100000E+1
-1.788150000E-7	7.152590000E-7	4.782800000E+0	2.999981445E+4	6.811300000E+1
-5.364450000E-7	1.579530000E-6	4.771300000E+0	2.999981445E+4	6.998400000E+1
-2.384200000E-7	1.013290000E-6	4.760500000E+0	2.999981445E+4	7.222200000E+1
-4.172340000E-7	1.102690000E-6	4.750500000E+0	2.999981445E+4	7.368000000E+1
2.980250000E-8	8.940730000E-7	4.737900000E+0	2.999981445E+4	7.652100000E+1
-4.470370000E-7	1.192100000E-6	4.726800000E+0	2.999981445E+4	7.891800000E+1
-8.940740000E-8	1.013290000E-6	4.713300000E+0	2.999981445E+4	8.169100000E+1
-1.192100000E-7	1.102690000E-6	4.701300000E+0	2.999981445E+4	8.369400000E+1
-3.576300000E-7	5.960500000E-7	4.688700000E+0	2.999981445E+4	8.622800000E+1
-7.152590000E-7	8.046660000E-7	4.677400000E+0	2.999981445E+4	8.906200000E+1
-9.536820000E-7	6.258520000E-7	4.665200000E+0	2.999981445E+4	9.105500000E+1
-7.748640000E-7	5.662480000E-7	4.653600000E+0	2.999981445E+4	9.351900000E+1
-8.046660000E-7	8.046660000E-7	4.643000000E+0	2.999981445E+4	9.571900000E+1
-1.102690000E-6	1.072890000E-6	4.629600000E+0	2.999981445E+4	9.822100000E+1
-7.450620000E-7	8.642710000E-7	4.619000000E+0	2.999981445E+4	1.002720000E+2
-2.771630000E-6	7.450620000E-7	4.608700000E+0	2.999981445E+4	1.030300000E+2
-2.443800000E-6	5.066430000E-7	4.597600000E+0	2.999981445E+4	1.045660000E+2
-1.728540000E-6	4.768410000E-7	4.587000000E+0	2.999981445E+4	1.063470000E+2
-1.698740000E-6	3.278270000E-7	4.576400000E+0	2.999981445E+4	1.093050000E+2
-2.056370000E-6	6.854570000E-7	4.562200000E+0	2.999981445E+4	1.113310000E+2
-1.966970000E-6	2.980250000E-8	4.549400000E+0	2.999981445E+4	1.140780000E+2
-2.175580000E-6	6.258520000E-7	4.537500000E+0	2.999981445E+4	1.170190000E+2
-2.533210000E-6	5.662480000E-7	4.526300000E+0	2.999981445E+4	1.190130000E+2
-2.622620000E-6	2.086170000E-7	4.515400000E+0	2.999981445E+4	1.208680000E+2
-2.622620000E-6	3.278270000E-7	4.502300000E+0	2.999981445E+4	1.238230000E+2
-2.652420000E-6	1.788150000E-7	4.488900000E+0	2.999981445E+4	1.262550000E+2
-2.950440000E-6	5.662480000E-7	4.474800000E+0	2.999981445E+4	1.292620000E+2
-2.175580000E-6	3.278270000E-7	4.463700000E+0	2.999981445E+4	1.314170000E+2
-3.010050000E-6	7.450620000E-7	4.453500000E+0	2.999981445E+4	1.339660000E+2
-3.039850000E-6	1.013290000E-6	4.442400000E+0	2.999981445E+4	1.358040000E+2
-2.324600000E-6	5.960500000E-7	4.429400000E+0	2.999981445E+4	1.379010000E+2
-1.728540000E-6	-1.192100000E-7	4.418200000E+0	2.999981445E+4	1.408060000E+2
-1.549730000E-6	1.490130000E-7	4.405100000E+0	2.999981445E+4	1.432480000E+2
-1.996770000E-6	5.960510000E-8	4.393800000E+0	2.999981445E+4	1.455340000E+2
-1.430520000E-6	-8.940740000E-8	4.381000000E+0	2.999981445E+4	1.479660000E+2
-2.086180000E-6	5.960510000E-8	4.370500000E+0	2.999981445E+4	1.501240000E+2
-1.758340000E-6	1.788150000E-7	4.359800000E+0	2.999981445E+4	1.523230000E+2
-1.251700000E-6	-3.576300000E-7	4.347600000E+0	2.999981445E+4	1.544680000E+2
-7.748640000E-7	-1.788150000E-7	4.334800000E+0	2.999981445E+4	1.574100000E+2
-6.854570000E-7	-5.364450000E-7	4.323900000E+0	2.999981445E+4	1.591350000E+2
-6.854570000E-7	-8.642710000E-7	4.313400000E+0	2.999981445E+4	1.615360000E+2
-1.251700000E-6	-3.278270000E-7	4.301200000E+0	2.999981445E+4	1.639250000E+2
-1.311310000E-6	-5.364450000E-7	4.291100000E+0	2.999981445E+4	1.659230000E+2
-1.341110000E-6	-6.854570000E-7	4.280500000E+0	2.999981445E+4	1.683210000E+2
-9.238760000E-7	-5.960500000E-7	4.269000000E+0	2.999981445E+4	1.701910000E+2
-1.519930000E-6	-4.470370000E-7	4.258000000E+0	2.999981445E+4	1.731750000E+2
-1.370910000E-6	-4.768410000E-7	4.245900000E+0	2.999981445E+4	1.752460000E+2
-1.370910000E-6	-1.788150000E-7	4.235600000E+0	2.999981445E+4	1.769880000E+2
-2.056370000E-6	5.960510000E-8	4.222300000E+0	2.999981445E+4	1.795460000E+2
-1.907360000E-6	5.960510000E-8	4.210000000E+0	2.999981445E+4	1.824870000E+2
-1.907360000E-6	-1.192100000E-7	4.197700000E+0	2.999981445E+4	1.843590000E+2
-1.221900000E-6	-2.384200000E-7	4.186400000E+0	2.999981445E+4	1.873180000E+2
-1.609330000E-6	-5.960510000E-8	4.176100000E+0	2.999981445E+4	1.892410000E+2
-1.907360000E-6	-2.980250000E-8	4.163100000E+0	2.999981445E+4	1.911710000E+2
-2.205390000E-6	-5.960510000E-8	4.153000000E+0	2.999981445E+4	1.935290000E+2
-1.639140000E-6	1.192100000E-7	4.142900000E+0	2.999981445E+4	1.962330000E+2
-2.235190000E-6	5.662480000E-7	4.132300000E+0	2.999981445E+4	1.974070000E+2
-2.145780000E-6	4.768410000E-7	4.120000000E+0	2.999981445E+4	2.003080000E+2
-2.145780000E-6	4.768410000E-7	4.107000000E+0	2.999981445E+4	2.029910000E+2
-2.145780000E-6	4.768410000E-7	4.093400000E+0	2.999981445E+4	2.056410000E+2
-2.443800000E-6	5.364450000E-7	4.082900000E+0	2.999981445E+4	2.076590000E+2
-2.384200000E-6	2.086170000E-7	4.071800000E+0	2.999981445E+4	2.102500000E+2
-1.609330000E-6	-1.192100000E-7	4.058900000E+0	2.999981445E+4	2.124470000E+2
-1.579530000E-6	-8.940740000E-8	4.047600000E+0	2.999981445E+4	2.144510000E+2
-1.579530000E-6	2.086170000E-7	4.037400000E+0	2.999981445E+4	2.168930000E+2
-1.817950000E-6	5.960510000E-8	4.025500000E+0	2.999981445E+4	2.191710000E+2
-1.639140000E-6	1.490130000E-7	4.015100000E+0	2.999981445E+4	2.211660000E+2
