20240415a_HM449HfTa4Zr_chiAC_vs_T_B_3.001.txt Tue, Apr 15, 2025 5:01:01 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

30000 Oe (3 T)
Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
-2.101820000E-5	3.077100000E-6	7.500100000E+0	2.999940820E+4	3.000000000E-2
-2.470620000E-5	-4.917410000E-6	7.488300000E+0	2.999940820E+4	6.194800000E+1
-2.322360000E-5	-4.567240000E-6	7.476900000E+0	2.999940820E+4	6.395500000E+1
-2.343960000E-5	-4.880160000E-6	7.466800000E+0	2.999940820E+4	6.573200000E+1
-2.369300000E-5	-5.193080000E-6	7.455400000E+0	2.999940820E+4	6.766700000E+1
-2.405060000E-5	-6.176560000E-6	7.443300000E+0	2.999940820E+4	7.008700000E+1
-2.463170000E-5	-7.301600000E-6	7.431900000E+0	2.999940820E+4	7.257700000E+1
-2.423690000E-5	-6.675750000E-6	7.421500000E+0	2.999940820E+4	7.447500000E+1
-2.449760000E-5	-5.468760000E-6	7.409600000E+0	2.999940820E+4	7.647800000E+1
-2.478070000E-5	-5.900890000E-6	7.399500000E+0	2.999940820E+4	7.847200000E+1
-2.369300000E-5	-7.122780000E-6	7.388600000E+0	2.999940820E+4	8.117300000E+1
-2.406550000E-5	-6.251070000E-6	7.377500000E+0	2.999940820E+4	8.343700000E+1
-2.362590000E-5	-6.698100000E-6	7.365800000E+0	2.999940820E+4	8.546700000E+1
-2.356630000E-5	-6.586340000E-6	7.355300000E+0	2.999940820E+4	8.742100000E+1
-2.398350000E-5	-6.437330000E-6	7.343000000E+0	2.999940820E+4	8.982400000E+1
-2.381220000E-5	-5.781680000E-6	7.332100000E+0	2.999940820E+4	9.221600000E+1
-2.352900000E-5	-5.379350000E-6	7.321600000E+0	2.999940820E+4	9.462500000E+1
-2.323850000E-5	-5.677370000E-6	7.310600000E+0	2.999940820E+4	9.661100000E+1
-2.401330000E-5	-5.669920000E-6	7.299800000E+0	2.999940820E+4	9.860100000E+1
-2.405060000E-5	-4.611940000E-6	7.287700000E+0	2.999940820E+4	1.010640000E+2
-2.433370000E-5	-6.251070000E-6	7.276700000E+0	2.999940820E+4	1.034970000E+2
-2.450510000E-5	-4.716250000E-6	7.265300000E+0	2.999940820E+4	1.054600000E+2
-2.404310000E-5	-4.641740000E-6	7.255100000E+0	2.999940820E+4	1.070460000E+2
-2.530230000E-5	-5.535810000E-6	7.244200000E+0	2.999940820E+4	1.098200000E+2
-2.640500000E-5	-5.461300000E-6	7.233600000E+0	2.999940820E+4	1.118350000E+2
-2.508620000E-5	-6.288320000E-6	7.222500000E+0	2.999940820E+4	1.142240000E+2
-2.495960000E-5	-5.200530000E-6	7.209200000E+0	2.999940820E+4	1.165890000E+2
-2.413250000E-5	-5.036620000E-6	7.197700000E+0	2.999940820E+4	1.189980000E+2
-2.553330000E-5	-5.498560000E-6	7.186800000E+0	2.999940820E+4	1.214160000E+2
-2.511600000E-5	-6.534190000E-6	7.174700000E+0	2.999940820E+4	1.238680000E+2
-2.424430000E-5	-6.705550000E-6	7.164200000E+0	2.999940820E+4	1.255540000E+2
-2.476580000E-5	-7.875320000E-6	7.152400000E+0	2.999940820E+4	1.279430000E+2
-2.527250000E-5	-7.480410000E-6	7.141000000E+0	2.999940820E+4	1.303290000E+2
-2.566740000E-5	-7.286700000E-6	7.130400000E+0	2.999940820E+4	1.323120000E+2
-2.369300000E-5	-6.437330000E-6	7.118800000E+0	2.999940820E+4	1.347310000E+2
-2.483290000E-5	-7.651800000E-6	7.108300000E+0	2.999940820E+4	1.371290000E+2
-2.517560000E-5	-7.353750000E-6	7.097900000E+0	2.999940820E+4	1.391680000E+2
-2.373020000E-5	-6.049900000E-6	7.085500000E+0	2.999940820E+4	1.415610000E+2
-2.482550000E-5	-6.482030000E-6	7.074700000E+0	2.999940820E+4	1.434410000E+2
-2.450510000E-5	-6.906720000E-6	7.064400000E+0	2.999940820E+4	1.458360000E+2
-2.402080000E-5	-5.744430000E-6	7.053900000E+0	2.999940820E+4	1.483220000E+2
-2.413250000E-5	-5.759330000E-6	7.043500000E+0	2.999940820E+4	1.499410000E+2
-2.480310000E-5	-5.163280000E-6	7.032500000E+0	2.999940820E+4	1.519590000E+2
-2.548860000E-5	-4.813100000E-6	7.021600000E+0	2.999940820E+4	1.545030000E+2
-2.483290000E-5	-4.522530000E-6	7.011400000E+0	2.999940820E+4	1.564540000E+2
-2.419220000E-5	-3.740210000E-6	6.998100000E+0	2.999940820E+4	1.589710000E+2
-2.452740000E-5	-4.015890000E-6	6.987600000E+0	2.999940820E+4	1.609710000E+2
-2.428160000E-5	-4.231960000E-6	6.976000000E+0	2.999940820E+4	1.633900000E+2
-2.396120000E-5	-3.732760000E-6	6.964200000E+0	2.999940820E+4	1.658950000E+2
-2.402080000E-5	-4.313920000E-6	6.953400000E+0	2.999940820E+4	1.679560000E+2
-2.340240000E-5	-3.084550000E-6	6.943300000E+0	2.999940820E+4	1.695900000E+2
-2.276160000E-5	-3.136710000E-6	6.932600000E+0	2.999940820E+4	1.720440000E+2
-2.366320000E-5	-3.576290000E-6	6.922300000E+0	2.999940820E+4	1.740610000E+2
-2.457960000E-5	-3.106910000E-6	6.911900000E+0	2.999940820E+4	1.765170000E+2
-2.407290000E-5	-3.188860000E-6	6.899300000E+0	2.999940820E+4	1.790070000E+2
-2.352900000E-5	-2.443800000E-6	6.888800000E+0	2.999940820E+4	1.807610000E+2
-2.396860000E-5	-2.458710000E-6	6.878700000E+0	2.999940820E+4	1.827140000E+2
-2.383450000E-5	-3.121810000E-6	6.868600000E+0	2.999940820E+4	1.846170000E+2
-2.367060000E-5	-2.913190000E-6	6.857500000E+0	2.999940820E+4	1.870280000E+2
-2.341730000E-5	-3.814730000E-6	6.847000000E+0	2.999940820E+4	1.896970000E+2
-2.318630000E-5	-2.935540000E-6	6.836200000E+0	2.999940820E+4	1.912400000E+2
-2.196440000E-5	-3.576290000E-6	6.823100000E+0	2.999940820E+4	1.937740000E+2
-2.299260000E-5	-5.431500000E-6	6.812300000E+0	2.999940820E+4	1.963110000E+2
-2.300010000E-5	-4.187260000E-6	6.800400000E+0	2.999940820E+4	1.985610000E+2
-2.321610000E-5	-4.887610000E-6	6.789600000E+0	2.999940820E+4	2.005130000E+2
-2.286590000E-5	-4.701350000E-6	6.778900000E+0	2.999940820E+4	2.027250000E+2
-2.318630000E-5	-4.507630000E-6	6.767900000E+0	2.999940820E+4	2.047070000E+2
-2.156210000E-5	-3.486890000E-6	6.755000000E+0	2.999940820E+4	2.077690000E+2
-2.133860000E-5	-3.136710000E-6	6.743700000E+0	2.999940820E+4	2.102080000E+2
-2.209850000E-5	-3.181410000E-6	6.732400000E+0	2.999940820E+4	2.118930000E+2
-2.063080000E-5	-3.129260000E-6	6.720900000E+0	2.999940820E+4	2.140570000E+2
-2.094370000E-5	-2.980250000E-6	6.709200000E+0	2.999940820E+4	2.169810000E+2
-1.982610000E-5	-2.644970000E-6	6.696900000E+0	2.999940820E+4	2.195200000E+2
-2.121940000E-5	-3.486890000E-6	6.686400000E+0	2.999940820E+4	2.212690000E+2
-2.047430000E-5	-3.427280000E-6	6.675100000E+0	2.999940820E+4	2.233110000E+2
-2.028800000E-5	-3.993540000E-6	6.664400000E+0	2.999940820E+4	2.259450000E+2
-2.077980000E-5	-3.375130000E-6	6.653700000E+0	2.999940820E+4	2.279260000E+2
-2.142050000E-5	-3.680600000E-6	6.642200000E+0	2.999940820E+4	2.300590000E+2
-2.122680000E-5	-5.543260000E-6	6.630600000E+0	2.999940820E+4	2.326580000E+2
-2.235930000E-5	-6.161660000E-6	6.619700000E+0	2.999940820E+4	2.343760000E+2
-2.267220000E-5	-5.267590000E-6	6.608100000E+0	2.999940820E+4	2.374010000E+2
-2.361100000E-5	-4.813100000E-6	6.596300000E+0	2.999940820E+4	2.398290000E+2
-2.411760000E-5	-5.394250000E-6	6.583800000E+0	2.999940820E+4	2.420990000E+2
-2.437840000E-5	-6.124410000E-6	6.571200000E+0	2.999940820E+4	2.441060000E+2
-2.504900000E-5	-6.116960000E-6	6.560500000E+0	2.999940820E+4	2.466530000E+2
-2.387920000E-5	-5.006820000E-6	6.549600000E+0	2.999940820E+4	2.489790000E+2
-2.463920000E-5	-6.064800000E-6	6.537900000E+0	2.999940820E+4	2.508810000E+2
-2.396120000E-5	-5.193080000E-6	6.526700000E+0	2.999940820E+4	2.528410000E+2
-2.454230000E-5	-5.707170000E-6	6.515300000E+0	2.999940820E+4	2.555700000E+2
-2.462430000E-5	-6.295770000E-6	6.502700000E+0	2.999940820E+4	2.583420000E+2
-2.488510000E-5	-7.167490000E-6	6.491400000E+0	2.999940820E+4	2.600690000E+2
-2.521290000E-5	-6.891820000E-6	6.481200000E+0	2.999940820E+4	2.626260000E+2
-2.568230000E-5	-6.541640000E-6	6.469100000E+0	2.999940820E+4	2.647350000E+2
-2.445290000E-5	-7.070630000E-6	6.457200000E+0	2.999940820E+4	2.673330000E+2
-2.507130000E-5	-7.472960000E-6	6.446600000E+0	2.999940820E+4	2.689950000E+2
-2.439330000E-5	-6.563990000E-6	6.434300000E+0	2.999940820E+4	2.713900000E+2
-2.408780000E-5	-6.742800000E-6	6.423900000E+0	2.999940820E+4	2.741050000E+2
