20250501_HM451MoTaZr2_chiAC_vs_T_B_04.001.txt Thu, May 1, 2025 4:43:55 PM Juan
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0.4T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-5.669920000E-6	4.991930000E-7	5.998800000E+0	3.999459961E+3	2.800000000E-2
-5.714620000E-6	5.215440000E-7	5.987000000E+0	3.999459961E+3	7.405200000E+1
-5.736980000E-6	5.289950000E-7	5.976900000E+0	3.999459961E+3	7.564100000E+1
-5.751880000E-6	5.886000000E-7	5.964600000E+0	3.999459961E+3	7.766000000E+1
-5.729530000E-6	5.811490000E-7	5.953800000E+0	3.999459961E+3	7.966700000E+1
-5.766780000E-6	5.513470000E-7	5.942100000E+0	3.999459961E+3	8.244400000E+1
-5.736980000E-6	5.140940000E-7	5.929500000E+0	3.999459961E+3	8.496500000E+1
-5.766780000E-6	5.587970000E-7	5.917800000E+0	3.999459961E+3	8.723900000E+1
-5.744430000E-6	5.215440000E-7	5.906300000E+0	3.999459961E+3	8.911700000E+1
-5.699720000E-6	5.140940000E-7	5.896200000E+0	3.999459961E+3	9.167400000E+1
-5.736980000E-6	5.215440000E-7	5.884100000E+0	3.999459961E+3	9.406900000E+1
-5.707170000E-6	5.140940000E-7	5.872300000E+0	3.999459961E+3	9.602700000E+1
-5.744430000E-6	5.215440000E-7	5.861100000E+0	3.999459961E+3	9.848500000E+1
-5.736980000E-6	5.289950000E-7	5.849800000E+0	3.999459961E+3	1.008320000E+2
-5.729530000E-6	4.470370000E-7	5.839500000E+0	3.999459961E+3	1.029360000E+2
-5.729530000E-6	4.172340000E-7	5.829100000E+0	3.999459961E+3	1.048570000E+2
-5.684820000E-6	4.917420000E-7	5.817800000E+0	3.999459961E+3	1.068510000E+2
-5.677370000E-6	4.544870000E-7	5.807700000E+0	3.999459961E+3	1.096510000E+2
-5.684820000E-6	4.991930000E-7	5.796000000E+0	3.999459961E+3	1.112420000E+2
-5.736980000E-6	4.991930000E-7	5.785900000E+0	3.999459961E+3	1.128490000E+2
-5.774230000E-6	4.395860000E-7	5.774300000E+0	3.999459961E+3	1.156760000E+2
-5.707170000E-6	4.395860000E-7	5.762400000E+0	3.999459961E+3	1.184680000E+2
-5.774230000E-6	4.246850000E-7	5.751700000E+0	3.999459961E+3	1.200520000E+2
-5.714620000E-6	3.799810000E-7	5.740000000E+0	3.999459961E+3	1.228410000E+2
-5.655020000E-6	4.395860000E-7	5.728800000E+0	3.999459961E+3	1.248540000E+2
-5.699720000E-6	4.395860000E-7	5.717100000E+0	3.999459961E+3	1.272320000E+2
-5.744430000E-6	4.246850000E-7	5.706200000E+0	3.999459961E+3	1.292770000E+2
-5.729530000E-6	4.023330000E-7	5.694900000E+0	3.999459961E+3	1.316510000E+2
-5.707170000E-6	4.246850000E-7	5.684700000E+0	3.999459961E+3	1.336610000E+2
-5.766780000E-6	4.246850000E-7	5.673300000E+0	3.999459961E+3	1.360300000E+2
-5.729530000E-6	3.874320000E-7	5.662700000E+0	3.999459961E+3	1.380380000E+2
-5.729530000E-6	3.650800000E-7	5.651400000E+0	3.999459961E+3	1.400390000E+2
-5.759330000E-6	4.097840000E-7	5.639600000E+0	3.999459961E+3	1.424530000E+2
-5.744430000E-6	3.948830000E-7	5.629300000E+0	3.999459961E+3	1.452850000E+2
