20250501_HM451MoTaZr2_chiAC_vs_T_B_0T.002.txt Thu, May 1, 2025 2:25:15 PM Juan
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Lockin_V_002	Chan2_V_002	Temperature_002	Field_002	Timestamp_002
-3.725310000E-7	5.513470000E-7	6.000100000E+0	2.858541012E-1	2.800000000E-2
-4.395860000E-7	5.438960000E-7	5.987500000E+0	2.858541012E-1	7.675100000E+1
-3.799810000E-7	4.768410000E-7	5.974700000E+0	2.858541012E-1	7.874500000E+1
-4.395860000E-7	4.097840000E-7	5.963800000E+0	2.858541012E-1	8.049700000E+1
-4.768410000E-7	3.129260000E-7	5.952200000E+0	2.858541012E-1	8.286800000E+1
-4.172340000E-7	1.639140000E-7	5.940400000E+0	2.858541012E-1	8.568300000E+1
-5.513470000E-7	7.450640000E-9	5.930200000E+0	2.858541012E-1	8.765900000E+1
-5.140940000E-7	-8.940740000E-8	5.919100000E+0	2.858541012E-1	8.968700000E+1
-5.736980000E-7	-2.607720000E-7	5.908100000E+0	2.858541012E-1	9.144600000E+1
-6.184020000E-7	-4.544870000E-7	5.896800000E+0	2.858541012E-1	9.423800000E+1
-7.376110000E-7	-6.705560000E-7	5.886000000E+0	2.858541012E-1	9.665000000E+1
-7.152590000E-7	-8.270180000E-7	5.873700000E+0	2.858541012E-1	9.868300000E+1
-8.046660000E-7	-1.117590000E-6	5.863000000E+0	2.858541012E-1	1.006220000E+2
-9.238760000E-7	-1.341110000E-6	5.851800000E+0	2.858541012E-1	1.034660000E+2
-9.536820000E-7	-1.549730000E-6	5.840100000E+0	2.858541012E-1	1.054130000E+2
-1.132500000E-6	-1.885000000E-6	5.829800000E+0	2.858541012E-1	1.074240000E+2
-1.207000000E-6	-2.160680000E-6	5.819100000E+0	2.858541012E-1	1.098220000E+2
-1.378360000E-6	-2.443800000E-6	5.807600000E+0	2.858541012E-1	1.122340000E+2
-1.579530000E-6	-2.697120000E-6	5.796700000E+0	2.858541012E-1	1.137860000E+2
-1.698740000E-6	-3.054750000E-6	5.786600000E+0	2.858541012E-1	1.162490000E+2
-1.914810000E-6	-3.360230000E-6	5.776300000E+0	2.858541012E-1	1.182510000E+2
-2.138330000E-6	-3.837080000E-6	5.764600000E+0	2.858541012E-1	1.210180000E+2
-2.272440000E-6	-4.015890000E-6	5.753800000E+0	2.858541012E-1	1.226140000E+2
-2.577920000E-6	-4.470380000E-6	5.742200000E+0	2.858541012E-1	1.250340000E+2
-2.861040000E-6	-4.842910000E-6	5.731900000E+0	2.858541012E-1	1.274150000E+2
-3.114360000E-6	-5.163280000E-6	5.721400000E+0	2.858541012E-1	1.294430000E+2
-3.427280000E-6	-5.677370000E-6	5.710500000E+0	2.858541012E-1	1.314520000E+2
-3.762560000E-6	-6.087150000E-6	5.699800000E+0	2.858541012E-1	1.338040000E+2
-4.097850000E-6	-6.437330000E-6	5.688200000E+0	2.858541012E-1	1.358240000E+2
-4.522530000E-6	-6.899270000E-6	5.677300000E+0	2.858541012E-1	1.377990000E+2
-4.954670000E-6	-7.353750000E-6	5.665800000E+0	2.858541012E-1	1.403670000E+2
-5.416600000E-6	-7.771010000E-6	5.655500000E+0	2.858541012E-1	1.427380000E+2
-5.856190000E-6	-8.225500000E-6	5.642700000E+0	2.858541012E-1	1.447340000E+2
-6.504390000E-6	-8.806640000E-6	5.631600000E+0	2.858541012E-1	1.472760000E+2
-7.003570000E-6	-9.253680000E-6	5.620200000E+0	2.858541012E-1	1.495320000E+2
-7.547470000E-6	-9.663460000E-6	5.609400000E+0	2.858541012E-1	1.521310000E+2
-8.009430000E-6	-9.983840000E-6	5.598400000E+0	2.858541012E-1	1.537950000E+2
-8.851350000E-6	-1.055010000E-5	5.586000000E+0	2.858541012E-1	1.562170000E+2
-9.544250000E-6	-1.107160000E-5	5.573800000E+0	2.858541012E-1	1.590540000E+2
-1.011790000E-5	-1.139940000E-5	5.561700000E+0	2.858541012E-1	1.609070000E+2
-1.110140000E-5	-1.195820000E-5	5.549600000E+0	2.858541012E-1	1.636860000E+2
-1.189860000E-5	-1.236800000E-5	5.537500000E+0	2.858541012E-1	1.660760000E+2
-1.272560000E-5	-1.279270000E-5	5.524500000E+0	2.858541012E-1	1.687350000E+2
-1.367930000E-5	-1.317270000E-5	5.514400000E+0	2.858541012E-1	1.708580000E+2
-1.432010000E-5	-1.350800000E-5	5.503500000E+0	2.858541012E-1	1.728750000E+2
-1.509490000E-5	-1.379110000E-5	5.493300000E+0	2.858541012E-1	1.751720000E+2
-1.598910000E-5	-1.405930000E-5	5.480400000E+0	2.858541012E-1	1.772210000E+2
-1.722590000E-5	-1.435730000E-5	5.468500000E+0	2.858541012E-1	1.800710000E+2
-1.801560000E-5	-1.463300000E-5	5.458100000E+0	2.858541012E-1	1.823930000E+2
-1.866380000E-5	-1.474480000E-5	5.447000000E+0	2.858541012E-1	1.836760000E+2
-1.998260000E-5	-1.502040000E-5	5.434500000E+0	2.858541012E-1	1.866290000E+2
-2.085430000E-5	-1.519920000E-5	5.424200000E+0	2.858541012E-1	1.886090000E+2
-2.197930000E-5	-1.526640000E-5	5.412400000E+0	2.858541012E-1	1.913930000E+2
-2.264240000E-5	-1.538560000E-5	5.401200000E+0	2.858541012E-1	1.930100000E+2
-2.387180000E-5	-1.548240000E-5	5.389200000E+0	2.858541012E-1	1.952940000E+2
-2.488510000E-5	-1.549730000E-5	5.378500000E+0	2.858541012E-1	1.982500000E+2
-2.556310000E-5	-1.556440000E-5	5.368000000E+0	2.858541012E-1	1.996870000E+2
-2.671790000E-5	-1.559420000E-5	5.357100000E+0	2.858541012E-1	2.017060000E+2
-2.796210000E-5	-1.558670000E-5	5.344200000E+0	2.858541012E-1	2.046110000E+2
-2.907970000E-5	-1.549730000E-5	5.332000000E+0	2.858541012E-1	2.074120000E+2
-3.013030000E-5	-1.532600000E-5	5.319100000E+0	2.858541012E-1	2.094870000E+2
-3.147890000E-5	-1.530360000E-5	5.306000000E+0	2.858541012E-1	2.123390000E+2
-3.261890000E-5	-1.506510000E-5	5.294800000E+0	2.858541012E-1	2.151440000E+2
-3.329690000E-5	-1.490120000E-5	5.284400000E+0	2.858541012E-1	2.167190000E+2
-3.431020000E-5	-1.476710000E-5	5.273200000E+0	2.858541012E-1	2.184870000E+2
-3.529360000E-5	-1.461060000E-5	5.262400000E+0	2.858541012E-1	2.214550000E+2
-3.612060000E-5	-1.433500000E-5	5.249600000E+0	2.858541012E-1	2.232980000E+2
-3.726800000E-5	-1.411890000E-5	5.238700000E+0	2.858541012E-1	2.253020000E+2
-3.827390000E-5	-1.388050000E-5	5.226700000E+0	2.858541012E-1	2.281980000E+2
-3.917540000E-5	-1.364950000E-5	5.216000000E+0	2.858541012E-1	2.305090000E+2
-4.008440000E-5	-1.328440000E-5	5.203000000E+0	2.858541012E-1	2.324870000E+2
