20240423_HM455NbTa2Zr_chiAC_vs_T_B_1T.002.txt Wed, Apr 23, 2025 2:00:29 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

1T
Lockin_V_002	Chan2_V_002	Temperture_002	Field_002	Timestamp_002
-6.929080000E-7	-2.220290000E-6	9.001000000E+0	9.999551758E+3	3.400000000E-2
-7.897650000E-7	-2.130880000E-6	8.989700000E+0	9.999551758E+3	4.538900000E+1
-8.344690000E-7	-2.197940000E-6	8.976900000E+0	9.999551758E+3	4.730200000E+1
-8.195680000E-7	-2.130880000E-6	8.966700000E+0	9.999551758E+3	4.890800000E+1
-8.121170000E-7	-2.160680000E-6	8.955500000E+0	9.999551758E+3	5.104400000E+1
-8.270180000E-7	-2.220290000E-6	8.945400000E+0	9.999551758E+3	5.292400000E+1
-8.195680000E-7	-2.168130000E-6	8.933900000E+0	9.999551758E+3	5.535900000E+1
-8.046660000E-7	-2.212840000E-6	8.921600000E+0	9.999551758E+3	5.732200000E+1
-7.674130000E-7	-2.227740000E-6	8.910300000E+0	9.999551758E+3	5.971100000E+1
-6.854570000E-7	-2.294790000E-6	8.899600000E+0	9.999551758E+3	6.171400000E+1
-4.395860000E-7	-2.287340000E-6	8.889100000E+0	9.999551758E+3	6.386400000E+1
-6.482040000E-7	-2.235190000E-6	8.878700000E+0	9.999551758E+3	6.585000000E+1
-5.811490000E-7	-2.220290000E-6	8.868500000E+0	9.999551758E+3	6.831300000E+1
-5.587970000E-7	-2.309690000E-6	8.855800000E+0	9.999551758E+3	7.068800000E+1
-6.407540000E-7	-2.264990000E-6	8.845500000E+0	9.999551758E+3	7.265600000E+1
-6.631050000E-7	-2.160680000E-6	8.833800000E+0	9.999551758E+3	7.470300000E+1
-6.407540000E-7	-2.205390000E-6	8.823300000E+0	9.999551758E+3	7.664800000E+1
-7.376110000E-7	-2.250090000E-6	8.811400000E+0	9.999551758E+3	7.943700000E+1
-7.897650000E-7	-2.205390000E-6	8.799700000E+0	9.999551758E+3	8.189700000E+1
-7.301610000E-7	-2.197940000E-6	8.789600000E+0	9.999551758E+3	8.387100000E+1
-8.195680000E-7	-2.168130000E-6	8.779100000E+0	9.999551758E+3	8.587800000E+1
-7.376110000E-7	-2.190490000E-6	8.768000000E+0	9.999551758E+3	8.831000000E+1
-7.376110000E-7	-2.205390000E-6	8.756800000E+0	9.999551758E+3	8.992800000E+1
-8.121170000E-7	-2.168130000E-6	8.746700000E+0	9.999551758E+3	9.239500000E+1
-7.674130000E-7	-2.123430000E-6	8.734400000E+0	9.999551758E+3	9.438600000E+1
