20240424_HM455NbTa2Zr_chiAC_vs_T_B_0T.001.txt Thu, Apr 24, 2025 4:30:17 PM Juan
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
-6.333040000E-8	-3.352780000E-8	9.003400000E+0	-1.955843717E-1	4.000000000E-2
-5.215430000E-8	-1.117590000E-8	8.978300000E+0	-1.805394143E-1	1.870090000E+2
-5.587960000E-8	3.352780000E-8	8.988500000E+0	-1.805394143E-1	1.898160000E+2
-2.980250000E-8	2.980250000E-8	8.977300000E+0	-1.805394143E-1	1.970090000E+2
-2.235190000E-8	0.000000000E+0	8.965400000E+0	-1.805394143E-1	1.994620000E+2
-4.842900000E-8	0.000000000E+0	8.953200000E+0	-1.805394143E-1	2.018640000E+2
-7.078100000E-8	-4.097840000E-8	8.940800000E+0	-1.805394143E-1	2.042400000E+2
-5.215430000E-8	-1.490130000E-8	8.927600000E+0	-1.805394143E-1	2.063610000E+2
-7.078100000E-8	-3.352780000E-8	8.917200000E+0	-1.805394143E-1	2.083570000E+2
-7.078100000E-8	-6.705570000E-8	8.905800000E+0	-1.805394143E-1	2.102300000E+2
-7.823160000E-8	1.490130000E-8	8.894900000E+0	-1.805394143E-1	2.117760000E+2
-3.725310000E-8	2.607710000E-8	8.884600000E+0	-1.805394143E-1	2.133380000E+2
-1.192100000E-7	-2.607710000E-8	8.871800000E+0	-1.805394143E-1	2.154490000E+2
-6.705570000E-8	-1.862660000E-8	8.860800000E+0	-1.805394143E-1	2.170170000E+2
-4.842900000E-8	-1.117590000E-8	8.850000000E+0	-1.805394143E-1	2.188460000E+2
3.725320000E-9	0.000000000E+0	8.839800000E+0	-1.805394143E-1	2.203660000E+2
-2.235190000E-8	-7.078100000E-8	8.829400000E+0	-1.805394143E-1	2.221970000E+2
-9.685800000E-8	-3.725320000E-9	8.817500000E+0	-1.805394143E-1	2.240930000E+2
-2.980250000E-8	-3.725320000E-9	8.805600000E+0	-1.805394143E-1	2.261550000E+2
-1.043090000E-7	-1.490130000E-8	8.794200000E+0	-1.805394143E-1	2.279960000E+2
-6.705570000E-8	1.490130000E-8	8.782200000E+0	-1.805394143E-1	2.303560000E+2
-3.725310000E-8	3.725320000E-9	8.771600000E+0	-1.805394143E-1	2.320890000E+2
-1.005830000E-7	-7.450640000E-9	8.758100000E+0	-1.805394143E-1	2.340960000E+2
-1.266610000E-7	-1.117590000E-8	8.745500000E+0	-1.805394143E-1	2.359710000E+2
-4.842900000E-8	-1.117590000E-8	8.734200000E+0	-1.805394143E-1	2.379810000E+2
-7.078100000E-8	-6.705570000E-8	8.722100000E+0	-1.805394143E-1	2.401340000E+2
-6.705570000E-8	0.000000000E+0	8.711300000E+0	-1.805394143E-1	2.429210000E+2
-1.341110000E-7	-7.823160000E-8	8.700200000E+0	-1.805394143E-1	2.454280000E+2
-9.313270000E-8	-1.266610000E-7	8.689700000E+0	-1.805394143E-1	2.478050000E+2
