20250527_HM464MoNbRu2_chiAC_vs_T_B_2T.002.txt Tue, May 27, 2025 3:10:37 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

2T
Lockin_V_002	Chan2_V_002	Temperature_002	Field_002	Timestamp_002
-3.129260000E-7	-7.450640000E-9	5.000200000E+0	1.999943555E+4	3.800000000E-2
-1.937160000E-7	3.129260000E-7	4.988300000E+0	1.999943555E+4	2.540300000E+1
-1.862650000E-7	2.607720000E-7	4.978000000E+0	1.999943555E+4	2.695000000E+1
-2.235180000E-7	2.756730000E-7	4.965200000E+0	1.999943555E+4	2.908300000E+1
-1.788150000E-7	1.043090000E-7	4.954500000E+0	1.999943555E+4	3.189200000E+1
-2.905740000E-7	3.725310000E-7	4.941000000E+0	1.999943555E+4	3.428800000E+1
-3.725310000E-7	5.960500000E-7	4.928000000E+0	1.999943555E+4	3.716500000E+1
-2.756730000E-7	2.533220000E-7	4.917000000E+0	1.999943555E+4	3.949100000E+1
-2.011670000E-7	-1.192100000E-7	4.905200000E+0	1.999943555E+4	4.108200000E+1
5.960510000E-8	1.639140000E-7	4.893500000E+0	1.999943555E+4	4.387600000E+1
-1.192100000E-7	4.321350000E-7	4.882100000E+0	1.999943555E+4	4.631400000E+1
2.309690000E-7	8.717220000E-7	4.869800000E+0	1.999943555E+4	4.828700000E+1
5.215430000E-8	5.662480000E-7	4.857800000E+0	1.999943555E+4	5.110500000E+1
1.564630000E-7	7.450620000E-7	4.847600000E+0	1.999943555E+4	5.268400000E+1
-1.415620000E-7	5.587970000E-7	4.837500000E+0	1.999943555E+4	5.509500000E+1
-2.011670000E-7	4.246850000E-7	4.826000000E+0	1.999943555E+4	5.754800000E+1
6.705570000E-8	7.450620000E-7	4.815400000E+0	1.999943555E+4	5.920600000E+1
1.415620000E-7	1.013290000E-6	4.803400000E+0	1.999943555E+4	6.189600000E+1
2.235190000E-8	9.760330000E-7	4.791100000E+0	1.999943555E+4	6.430000000E+1
-9.685800000E-8	5.886000000E-7	4.778900000E+0	1.999943555E+4	6.629700000E+1
-2.160680000E-7	5.886000000E-7	4.767600000E+0	1.999943555E+4	6.916100000E+1
-1.713640000E-7	7.450620000E-7	4.757400000E+0	1.999943555E+4	7.139200000E+1
-1.937160000E-7	6.333030000E-7	4.745800000E+0	1.999943555E+4	7.324500000E+1
-1.415620000E-7	7.227100000E-7	4.734900000E+0	1.999943555E+4	7.562700000E+1
1.490130000E-8	1.028190000E-6	4.723800000E+0	1.999943555E+4	7.803100000E+1
-2.682230000E-7	7.823150000E-7	4.712200000E+0	1.999943555E+4	8.017300000E+1
-1.937160000E-7	6.929080000E-7	4.701800000E+0	1.999943555E+4	8.149300000E+1
5.960510000E-8	6.929080000E-7	4.689700000E+0	1.999943555E+4	8.482700000E+1
-3.725310000E-7	9.313260000E-7	4.677800000E+0	1.999943555E+4	8.712500000E+1
-4.321350000E-7	7.674130000E-7	4.667600000E+0	1.999943555E+4	8.867700000E+1
-2.756730000E-7	5.662480000E-7	4.655100000E+0	1.999943555E+4	9.161600000E+1
-3.874320000E-7	4.395860000E-7	4.644100000E+0	1.999943555E+4	9.389300000E+1
-2.235180000E-7	2.533220000E-7	4.633600000E+0	1.999943555E+4	9.548500000E+1
-9.685800000E-8	4.693880000E-7	4.622400000E+0	1.999943555E+4	9.830900000E+1
1.639140000E-7	4.470370000E-7	4.612100000E+0	1.999943555E+4	1.002910000E+2
3.129260000E-7	3.576300000E-7	4.600400000E+0	1.999943555E+4	1.023130000E+2
2.086170000E-7	7.450630000E-8	4.589900000E+0	1.999943555E+4	1.045440000E+2
3.129260000E-7	6.184020000E-7	4.579700000E+0	1.999943555E+4	1.065880000E+2
-2.235190000E-8	7.301610000E-7	4.569400000E+0	1.999943555E+4	1.088200000E+2
1.490130000E-8	6.109510000E-7	4.558000000E+0	1.999943555E+4	1.108210000E+2
-8.195680000E-8	3.054760000E-7	4.547100000E+0	1.999943555E+4	1.133430000E+2
-2.607720000E-7	2.980250000E-7	4.535400000E+0	1.999943555E+4	1.156570000E+2
-2.533220000E-7	5.438960000E-7	4.522700000E+0	1.999943555E+4	1.176000000E+2
-2.831240000E-7	5.215440000E-7	4.511600000E+0	1.999943555E+4	1.206990000E+2
-1.192100000E-7	6.035010000E-7	4.500400000E+0	1.999943555E+4	1.224060000E+2
-4.246850000E-7	6.705560000E-7	4.489200000E+0	1.999943555E+4	1.249640000E+2
-3.725310000E-7	6.035010000E-7	4.476400000E+0	1.999943555E+4	1.271260000E+2
-2.011670000E-7	3.054760000E-7	4.464600000E+0	1.999943555E+4	1.297930000E+2
-2.160680000E-7	6.258520000E-7	4.452800000E+0	1.999943555E+4	1.317740000E+2
-1.415620000E-7	3.427290000E-7	4.440400000E+0	1.999943555E+4	1.346780000E+2
-6.705570000E-8	6.035010000E-7	4.429000000E+0	1.999943555E+4	1.370640000E+2
0.000000000E+0	5.662480000E-7	4.417100000E+0	1.999943555E+4	1.385850000E+2
-3.725310000E-7	5.587970000E-7	4.407000000E+0	1.999943555E+4	1.413720000E+2
-1.713640000E-7	7.748640000E-7	4.395300000E+0	1.999943555E+4	1.433520000E+2
-1.490130000E-8	5.438960000E-7	4.383700000E+0	1.999943555E+4	1.457410000E+2
1.862650000E-7	3.427290000E-7	4.373600000E+0	1.999943555E+4	1.476020000E+2
-1.192100000E-7	6.929080000E-7	4.361300000E+0	1.999943555E+4	1.505490000E+2
-8.940740000E-8	1.013290000E-6	4.350900000E+0	1.999943555E+4	1.525530000E+2
-1.192100000E-7	9.462270000E-7	4.340700000E+0	1.999943555E+4	1.539860000E+2
-7.748640000E-7	8.046660000E-7	4.327800000E+0	1.999943555E+4	1.569950000E+2
-5.513470000E-7	8.493700000E-7	4.317000000E+0	1.999943555E+4	1.595120000E+2
-3.203770000E-7	6.333030000E-7	4.306900000E+0	1.999943555E+4	1.612210000E+2
-2.682230000E-7	7.599630000E-7	4.294600000E+0	1.999943555E+4	1.637350000E+2
-2.458710000E-7	7.972160000E-7	4.283000000E+0	1.999943555E+4	1.662630000E+2
-2.756730000E-7	8.493700000E-7	4.271500000E+0	1.999943555E+4	1.680330000E+2
-4.097840000E-7	1.028190000E-6	4.260900000E+0	1.999943555E+4	1.705530000E+2
-3.278270000E-7	1.125040000E-6	4.250100000E+0	1.999943555E+4	1.724440000E+2
-8.195680000E-8	1.139950000E-6	4.236000000E+0	1.999943555E+4	1.753400000E+2
-1.266610000E-7	1.221900000E-6	4.224100000E+0	1.999943555E+4	1.773070000E+2
8.940740000E-8	9.536820000E-7	4.213400000E+0	1.999943555E+4	1.801480000E+2
2.458710000E-7	7.599630000E-7	4.199800000E+0	1.999943555E+4	1.821300000E+2
7.450630000E-8	7.301610000E-7	4.186900000E+0	1.999943555E+4	1.850990000E+2
1.266610000E-7	1.117590000E-6	4.174500000E+0	1.999943555E+4	1.874710000E+2
5.215430000E-8	1.177200000E-6	4.162100000E+0	1.999943555E+4	1.902640000E+2
1.490130000E-8	1.005840000E-6	4.152000000E+0	1.999943555E+4	1.918600000E+2
1.043090000E-7	1.259160000E-6	4.141600000E+0	1.999943555E+4	1.942610000E+2
1.564630000E-7	8.642710000E-7	4.130300000E+0	1.999943555E+4	1.967000000E+2
2.980250000E-7	9.611320000E-7	4.118400000E+0	1.999943555E+4	1.986530000E+2
5.960510000E-8	1.162300000E-6	4.107900000E+0	1.999943555E+4	2.011770000E+2
-1.490130000E-8	1.311310000E-6	4.096500000E+0	1.999943555E+4	2.034890000E+2
-1.713640000E-7	1.013290000E-6	4.085400000E+0	1.999943555E+4	2.054450000E+2
